NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-78bc84b65-lh2bl                15m          105Mi           
emailservice-6d64dd4f77-bhj4x            8m           75Mi            
loadgenerator-5f9fc87d8d-72mcp           4m           35Mi            
loadgenerator-b5b767cdb-n9tqr            4m           35Mi            
paymentservice-8b8bc9b45-gvr25           3m           35Mi            
paymentservice-b4cbf695c-wgsln           4m           35Mi            
productcatalogservice-c54ddf6bf-mmjcp    4m           45Mi            
recommendationservice-597fbd6bb5-rq4vw   5m           70Mi            
