NAME                    TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)        AGE     SELECTOR
adservice               ClusterIP      10.105.180.189   <none>        9555/TCP       3m22s   app=adservice
cartservice             ClusterIP      10.99.225.210    <none>        7070/TCP       3m22s   app=cartservice
checkoutservice         ClusterIP      10.102.100.56    <none>        5050/TCP       3m23s   app=checkoutservice
currencyservice         ClusterIP      10.103.234.107   <none>        7000/TCP       3m23s   app=currencyservice
emailservice            ClusterIP      10.96.210.57     <none>        5000/TCP       3m22s   app=emailservice
frontend                ClusterIP      10.106.249.212   <none>        80/TCP         3m22s   app=frontend
frontend-external       LoadBalancer   10.109.139.241   <pending>     80:32211/TCP   3m22s   app=frontend
paymentservice          ClusterIP      10.104.81.192    <none>        50051/TCP      3m22s   app=paymentservice
productcatalogservice   ClusterIP      10.107.55.189    <none>        3550/TCP       3m23s   app=productcatalogservice
recommendationservice   ClusterIP      10.96.71.126     <none>        8080/TCP       3m22s   app=recommendationservice
redis-cart              ClusterIP      10.111.155.21    <none>        6379/TCP       3m22s   app=redis-cart
shippingservice         ClusterIP      10.106.83.231    <none>        50051/TCP      3m22s   app=shippingservice
