NAME                    ENDPOINTS               AGE
adservice               192.168.71.69:9555      48s
cartservice             192.168.135.100:7070    48s
checkoutservice         192.168.222.33:5050     49s
currencyservice         192.168.99.216:7000     49s
emailservice            192.168.173.142:8080    48s
frontend                192.168.65.13:8080      48s
frontend-external       192.168.65.13:8080      48s
paymentservice          192.168.42.88:50051     48s
productcatalogservice   192.168.137.200:3550    49s
recommendationservice   192.168.222.34:8080     48s
redis-cart              192.168.71.71:6379      48s
shippingservice         192.168.135.101:50051   48s
