NAME                                     CPU(cores)   MEMORY(bytes)   
adservice-78bc84b65-lh2bl                66m          132Mi           
cartservice-85bff66d6b-wwv8w             96m          91Mi            
checkoutservice-674d7b7cdf-qdfgk         8m           50Mi            
currencyservice-6bcf8957bc-tj4qt         166m         79Mi            
emailservice-6d64dd4f77-bhj4x            8m           79Mi            
frontend-77468d4bcb-z5fv9                454m         56Mi            
loadgenerator-b5b767cdb-n9tqr            10m          88Mi            
paymentservice-8b8bc9b45-gvr25           5m           64Mi            
productcatalogservice-c54ddf6bf-mmjcp    126m         51Mi            
recommendationservice-597fbd6bb5-rq4vw   133m         74Mi            
redis-cart-6576fcd97-2qxxg               11m          46Mi            
shippingservice-56f98c99df-p55lj         20m          51Mi            
