run_id,metric,unit,run,sources
social-smoke-scale10-20260523T172647Z,latency_p50_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,latency_p95_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,latency_p99_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,throughput_rps,requests/s,n/a,
social-smoke-scale10-20260523T172647Z,sla_violations,count,n/a,
social-smoke-scale10-20260523T172647Z,sla_violation_rate,ratio,n/a,
social-smoke-scale10-20260523T172647Z,scheduler_decision_time_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,gda_build_time_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,ndm_injection_time_ms,ms,n/a,
social-smoke-scale10-20260523T172647Z,cpu_overhead_pct,percent,n/a,
social-smoke-scale10-20260523T172647Z,memory_overhead_mb,MiB,n/a,
social-smoke-scale10-20260523T172647Z,migration_count,count,n/a,
social-smoke-scale10-20260523T172647Z,network_target_vs_measured_error,unitless,n/a,
social-smoke-scale10-20260523T172647Z,placement_cost_reduction_pct,percent,n/a,
