run_id,metric,unit,kubernetes,policy1,policy4,sources
live-tc-social-scale10-20260523T180124Z,latency_p50_ms,ms,175.37,34.498,177.21,kubernetes:processed/social_live_tc_metrics.json#p50_latency_ms; policy1:processed/social_live_tc_metrics.json#p50_latency_ms; policy4:processed/social_live_tc_metrics.json#p50_latency_ms
live-tc-social-scale10-20260523T180124Z,latency_p95_ms,ms,526.46,90.544,607.51,kubernetes:processed/social_live_tc_metrics.json#p95_latency_ms; policy1:processed/social_live_tc_metrics.json#p95_latency_ms; policy4:processed/social_live_tc_metrics.json#p95_latency_ms
live-tc-social-scale10-20260523T180124Z,latency_p99_ms,ms,541.66,93.846,622.59,kubernetes:processed/social_live_tc_metrics.json#p99_latency_ms; policy1:processed/social_live_tc_metrics.json#p99_latency_ms; policy4:processed/social_live_tc_metrics.json#p99_latency_ms
live-tc-social-scale10-20260523T180124Z,throughput_rps,requests/s,26.141,178.63,22.284,kubernetes:processed/social_live_tc_metrics.json#throughput_rps; policy1:processed/social_live_tc_metrics.json#throughput_rps; policy4:processed/social_live_tc_metrics.json#throughput_rps
live-tc-social-scale10-20260523T180124Z,sla_violations,count,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors; policy1:processed/social_live_tc_metrics.json#errors; policy4:processed/social_live_tc_metrics.json#errors
live-tc-social-scale10-20260523T180124Z,sla_violation_rate,ratio,0.0000,0.0000,0.0000,kubernetes:processed/social_live_tc_metrics.json#errors/requests; policy1:processed/social_live_tc_metrics.json#errors/requests; policy4:processed/social_live_tc_metrics.json#errors/requests
live-tc-social-scale10-20260523T180124Z,scheduler_decision_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,gda_build_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,cpu_overhead_pct,percent,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,memory_overhead_mb,MiB,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,migration_count,count,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,network_target_vs_measured_error,unitless,n/a,n/a,n/a,
live-tc-social-scale10-20260523T180124Z,placement_cost_reduction_pct,percent,n/a,n/a,n/a,
