source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,104,0.520000,5.804822,16.996808
expert-0,aggregator,200,1.000000,63.044238,81.712885
expert-1,aggregator,200,1.000000,36.239228,72.200287
expert-2,aggregator,198,0.990000,25.072242,64.143712
frontend,router,200,1.000000,84.248261,116.367193
frontend,tokenizer,200,1.000000,62.852165,91.222519
router,cache,185,0.925000,6.806229,9.958487
router,expert-0,200,1.000000,69.992359,90.877346
router,expert-1,200,1.000000,40.270318,79.675129
router,expert-2,200,1.000000,27.720537,70.673224
