source,destination,active_steps,active_step_ratio,mean_weight,max_weight
cartservice,redis-cart,500,1.000000,26.896204,48.045876
checkoutservice,cartservice,215,0.430000,3.663650,11.643027
checkoutservice,currencyservice,70,0.140000,0.750374,5.821513
checkoutservice,emailservice,70,0.140000,0.750374,5.821513
checkoutservice,paymentservice,192,0.384000,2.991001,10.187649
checkoutservice,productcatalogservice,70,0.140000,0.750374,5.821513
checkoutservice,shippingservice,164,0.328000,2.305836,8.732270
frontend,adservice,500,1.000000,18.454187,30.699695
frontend,cartservice,500,1.000000,25.121853,43.133701
frontend,checkoutservice,242,0.484000,4.885187,14.553784
frontend,currencyservice,500,1.000000,45.094586,68.021350
frontend,productcatalogservice,500,1.000000,55.998951,90.583746
frontend,recommendationservice,500,1.000000,29.450965,50.181994
recommendationservice,productcatalogservice,500,1.000000,39.267954,66.909325
