benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,kubernetes-default,K8s default,0,0.000,replay,mixed,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.025629,0.025629,8,8,0,60.611391,60.611391,60.611391,60.611391,90.000000,0.000000,108.333333,0.559490,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,cga,CGA,0,0.000,replay,mixed,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.025629,0.025629,8,8,0,61.089042,61.089042,61.089042,61.089042,90.000000,0.000000,108.333333,0.563899,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,hda,HDA,0,0.000,replay,mixed,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.025629,0.025629,8,8,0,56.771468,56.771468,56.771468,56.771468,90.000000,0.000000,108.333333,0.524044,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy2,Policy 2,0,0.000,replay,mixed,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.025629,0.025629,8,8,0,57.706440,57.706440,57.706440,57.706440,90.000000,0.000000,108.333333,0.532675,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy3,Policy 3,0,0.000,replay,mixed,0.969300,0.000000,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.025629,0.025629,8,8,0,53.570968,53.570968,53.570968,53.570968,90.000000,0.000000,108.333333,0.494501,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,kubernetes-default,K8s default,1,0.100,replay,mixed,0.969753,0.000467,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.024135,0.024135,8,8,0,65.016259,65.016259,65.016259,65.016259,90.000000,0.000000,108.333333,0.600150,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,cga,CGA,1,0.100,replay,mixed,0.969753,0.000467,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.024135,0.024135,8,8,0,58.064341,58.064341,58.064341,58.064341,90.000000,0.000000,108.333333,0.535979,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,hda,HDA,1,0.100,replay,mixed,0.969753,0.000467,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.024135,0.024135,8,8,0,57.420856,57.420856,57.420856,57.420856,90.000000,0.000000,108.333333,0.530039,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy2,Policy 2,1,0.100,replay,mixed,0.969753,0.000467,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.024135,0.024135,8,8,0,57.061522,57.061522,57.061522,57.061522,90.000000,0.000000,108.333333,0.526722,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy3,Policy 3,1,0.100,replay,mixed,0.969753,0.000467,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.024135,0.024135,8,8,0,56.163449,56.163449,56.163449,56.163449,90.000000,0.000000,108.333333,0.518432,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,kubernetes-default,K8s default,2,0.200,replay,mixed,0.965329,0.004561,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.021831,0.021831,8,8,0,63.154083,63.154083,63.154083,63.154083,90.000000,0.000000,108.333333,0.582961,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,cga,CGA,2,0.200,replay,mixed,0.965329,0.004561,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.021831,0.021831,8,8,0,58.309923,58.309923,58.309923,58.309923,90.000000,0.000000,108.333333,0.538245,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,hda,HDA,2,0.200,replay,mixed,0.965329,0.004561,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.021831,0.021831,8,8,0,61.110676,61.110676,61.110676,61.110676,90.000000,0.000000,108.333333,0.564099,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy2,Policy 2,2,0.200,replay,mixed,0.965329,0.004561,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.021831,0.021831,8,8,0,55.663819,55.663819,55.663819,55.663819,90.000000,0.000000,108.333333,0.513820,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,policy3,Policy 3,2,0.200,replay,mixed,0.965329,0.004561,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.021831,0.021831,8,8,0,55.675882,55.675882,55.675882,55.675882,90.000000,0.000000,108.333333,0.513931,0.000000,20,31,31,20,1.000000,,31,,,
moe-serving,moe-longmix-stageA-scale20-replica3-step-steps200-20260612T141944Z,idyn-moe-serving,scale20,replica3,aggregator_replicas=3;cache_replicas=1;expert_count=6;replicas_per_expert=3;router_replicas=3;state_replicas=1;total_app_pods=31,step,,kubernetes-default,K8s default,3,0.300,replay,mixed,1.003365,0.037908,8,1.636641,0.000000,0.406120,0.093267,,,0.000000,0.015710,0.015710,8,8,0,63.505465,63.505465,63.505465,63.505465,90.000000,0.000000,108.333333,0.586204,0.000000,20,31,31,20,1.000000,,31,,,
