policy,policy_display_name,evidence_type,steps,mean_latency_ms,mean_sla_violation_ratio,max_sla_violation_ratio,mean_request_mix_entropy,mean_active_edge_count,migration_count_available,policy_decision_time_available
kubernetes-default,K8s default,replay,200,84.123470,0.000000,0.000000,1.636641,7.530000,false,false
cga,CGA,replay,200,78.749372,0.000000,0.000000,1.636641,7.530000,false,false
hda,HDA,replay,200,75.453798,0.000000,0.000000,1.636641,7.530000,false,false
policy2,Policy 2,replay,200,77.357940,0.000000,0.000000,1.636641,7.530000,false,false
policy3,Policy 3,replay,200,76.350871,0.000000,0.000000,1.636641,7.530000,false,false
