metric,value
mean_edge_jaccard_distance,0.01713201
mean_weighted_edge_distance,0.06652866
mean_hot_edge_rank_correlation,0.98618533
mean_graph_change_rate_per_s,0.66528640
mean_request_mix_entropy,1.63664100
mean_top3_hotspot_churn,0.02060302
mean_active_edge_count,7.53000000
mean_traffic_stress_gini,0.21716417
mean_traffic_stress_skew,0.23857195
migration_count_available,0.00000000
policy_decision_time_available,0.00000000
policy_latency_evidence_type,replay
mean_gda_query_latency_ms,0.00000000
mean_gda_build_time_ms,0.01640719
mean_gda_total_time_ms,0.01640719
latency_sla_violation_correlation,0.00000000
latency_sla_pressure_correlation,0.72581085
traffic_stress_latency_correlation,0.13755655
kubernetes-default_mean_latency_ms,84.12347048
kubernetes-default_mean_sla_violation_ratio,0.00000000
kubernetes-default_mean_request_mix_entropy,1.63664100
cga_mean_latency_ms,78.74937193
cga_mean_sla_violation_ratio,0.00000000
cga_mean_request_mix_entropy,1.63664100
hda_mean_latency_ms,75.45379842
hda_mean_sla_violation_ratio,0.00000000
hda_mean_request_mix_entropy,1.63664100
policy2_mean_latency_ms,77.35794024
policy2_mean_sla_violation_ratio,0.00000000
policy2_mean_request_mix_entropy,1.63664100
policy3_mean_latency_ms,76.35087101
policy3_mean_sla_violation_ratio,0.00000000
policy3_mean_request_mix_entropy,1.63664100
