source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,44,0.220000,3.871335,18.721044
cache,aggregator,22,0.110000,4.217462,43.584719
expert-0,aggregator,200,1.000000,51.671515,80.090720
expert-1,aggregator,200,1.000000,34.933600,73.226057
expert-2,aggregator,61,0.305000,12.048248,65.670988
expert-3,aggregator,22,0.110000,4.192595,41.553300
frontend,router,200,1.000000,72.823656,117.103576
frontend,tokenizer,200,1.000000,53.408602,91.968441
router,cache,44,0.220000,8.922141,63.678973
router,expert-0,200,1.000000,57.528665,89.007380
router,expert-1,200,1.000000,39.134822,80.781127
router,expert-2,91,0.455000,14.362111,72.354319
router,expert-3,22,0.110000,4.891361,48.478850
