policy,policy_key,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,sla_violations,objective_cost,migration_count
Kubernetes,kubernetes-default,59.288195,64.270576,73.017796,7.921374,0,,0
Policy 1,idynamics-policy1-callgraph-aware,53.629680,57.954382,62.964628,7.919342,0,8.000000000,11
Policy 2,idynamics-policy2-latency-critical-path,54.050995,58.973372,66.473434,7.924642,0,2.448500000,9
Policy 3,idynamics-policy3-bandwidth-payload-aware,58.506092,62.553896,64.423424,7.923754,0,0.000956750,11
Policy 4,idynamics-policy4-hybrid-dynamics,54.763021,60.589076,67.566515,7.921638,0,4.555059031,11
