run_id,metric,unit,run,sources
policy2-policy3-live-20260603T082241Z-scale10,latency_p50_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,latency_p95_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,latency_p99_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,throughput_rps,requests/s,n/a,
policy2-policy3-live-20260603T082241Z-scale10,sla_violations,count,n/a,
policy2-policy3-live-20260603T082241Z-scale10,sla_violation_rate,ratio,n/a,
policy2-policy3-live-20260603T082241Z-scale10,scheduler_decision_time_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,gda_build_time_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,ndm_injection_time_ms,ms,n/a,
policy2-policy3-live-20260603T082241Z-scale10,cpu_overhead_pct,percent,n/a,
policy2-policy3-live-20260603T082241Z-scale10,memory_overhead_mb,MiB,n/a,
policy2-policy3-live-20260603T082241Z-scale10,migration_count,count,n/a,
policy2-policy3-live-20260603T082241Z-scale10,network_target_vs_measured_error,unitless,n/a,
policy2-policy3-live-20260603T082241Z-scale10,placement_cost_reduction_pct,percent,n/a,
