step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
0,0.000,replay,0.000000,0.019467,0.019467,8,10,0
1,0.100,replay,0.000000,0.014828,0.014828,8,10,0
2,0.200,replay,0.000000,0.024115,0.024115,8,10,0
3,0.300,replay,0.000000,0.013836,0.013836,8,10,0
4,0.400,replay,0.000000,0.014787,0.014787,8,10,0
5,0.500,replay,0.000000,0.045746,0.045746,7,8,0
6,0.600,replay,0.000000,0.026650,0.026650,8,10,0
7,0.700,replay,0.000000,0.013765,0.013765,8,9,0
8,0.800,replay,0.000000,0.015078,0.015078,8,10,0
9,0.900,replay,0.000000,0.021831,0.021831,8,10,0
10,1.000,replay,0.000000,0.017714,0.017714,8,10,0
11,1.100,replay,0.000000,0.016892,0.016892,8,10,0
12,1.200,replay,0.000000,0.014377,0.014377,8,10,0
13,1.300,replay,0.000000,0.013486,0.013486,8,10,0
14,1.400,replay,0.000000,0.013516,0.013516,8,10,0
15,1.500,replay,0.000000,0.017152,0.017152,8,9,0
16,1.600,replay,0.000000,0.013687,0.013687,8,9,0
17,1.700,replay,0.000000,0.013816,0.013816,8,9,0
18,1.800,replay,0.000000,0.015179,0.015179,8,9,0
19,1.900,replay,0.000000,0.013555,0.013555,8,9,0
20,2.000,replay,0.000000,0.023735,0.023735,8,9,0
21,2.100,replay,0.000000,0.021450,0.021450,8,9,0
22,2.200,replay,0.000000,0.020879,0.020879,8,9,0
23,2.300,replay,0.000000,0.013626,0.013626,8,9,0
24,2.400,replay,0.000000,0.013776,0.013776,8,9,0
25,2.500,replay,0.000000,0.016050,0.016050,8,9,0
26,2.600,replay,0.000000,0.015309,0.015309,8,9,0
27,2.700,replay,0.000000,0.015959,0.015959,8,9,0
28,2.800,replay,0.000000,0.017572,0.017572,8,9,0
29,2.900,replay,0.000000,0.014218,0.014218,8,9,0
30,3.000,replay,0.000000,0.013585,0.013585,8,9,0
31,3.100,replay,0.000000,0.013956,0.013956,8,9,0
32,3.200,replay,0.000000,0.017584,0.017584,8,9,0
33,3.300,replay,0.000000,0.018114,0.018114,8,9,0
34,3.400,replay,0.000000,0.015409,0.015409,8,9,0
35,3.500,replay,0.000000,0.017272,0.017272,8,10,0
36,3.600,replay,0.000000,0.013866,0.013866,8,10,0
37,3.700,replay,0.000000,0.013576,0.013576,8,10,0
38,3.800,replay,0.000000,0.013155,0.013155,8,10,0
39,3.900,replay,0.000000,0.013325,0.013325,8,9,0
40,4.000,replay,0.000000,0.014027,0.014027,8,9,0
41,4.100,replay,0.000000,0.014197,0.014197,8,9,0
42,4.200,replay,0.000000,0.016431,0.016431,8,9,0
43,4.300,replay,0.000000,0.013805,0.013805,8,9,0
44,4.400,replay,0.000000,0.013766,0.013766,8,9,0
45,4.500,replay,0.000000,0.014496,0.014496,8,9,0
46,4.600,replay,0.000000,0.014737,0.014737,8,9,0
47,4.700,replay,0.000000,0.012975,0.012975,8,9,0
48,4.800,replay,0.000000,0.016801,0.016801,8,9,0
49,4.900,replay,0.000000,0.013145,0.013145,8,9,0
50,5.000,replay,0.000000,0.012935,0.012935,8,9,0
51,5.100,replay,0.000000,0.016170,0.016170,8,9,0
52,5.200,replay,0.000000,0.027393,0.027393,8,9,0
53,5.300,replay,0.000000,0.015498,0.015498,8,9,0
54,5.400,replay,0.000000,0.013616,0.013616,8,9,0
55,5.500,replay,0.000000,0.017454,0.017454,8,9,0
56,5.600,replay,0.000000,0.016502,0.016502,8,9,0
57,5.700,replay,0.000000,0.023083,0.023083,8,9,0
58,5.800,replay,0.000000,0.015018,0.015018,8,9,0
59,5.900,replay,0.000000,0.014939,0.014939,8,9,0
60,6.000,replay,0.000000,0.014728,0.014728,8,9,0
61,6.100,replay,0.000000,0.015359,0.015359,8,9,0
62,6.200,replay,0.000000,0.018305,0.018305,8,9,0
63,6.300,replay,0.000000,0.014408,0.014408,8,9,0
64,6.400,replay,0.000000,0.013997,0.013997,8,9,0
65,6.500,replay,0.000000,0.014909,0.014909,8,9,0
66,6.600,replay,0.000000,0.022482,0.022482,8,9,0
67,6.700,replay,0.000000,0.015159,0.015159,8,9,0
68,6.800,replay,0.000000,0.016903,0.016903,8,9,0
69,6.900,replay,0.000000,0.014998,0.014998,8,9,0
70,7.000,replay,0.000000,0.015419,0.015419,8,9,0
71,7.100,replay,0.000000,0.021831,0.021831,8,9,0
72,7.200,replay,0.000000,0.021491,0.021491,8,10,0
73,7.300,replay,0.000000,0.013915,0.013915,8,10,0
74,7.400,replay,0.000000,0.022803,0.022803,8,9,0
75,7.500,replay,0.000000,0.016912,0.016912,8,9,0
76,7.600,replay,0.000000,0.014637,0.014637,8,9,0
77,7.700,replay,0.000000,0.029605,0.029605,8,10,0
78,7.800,replay,0.000000,0.017363,0.017363,8,10,0
79,7.900,replay,0.000000,0.013274,0.013274,8,10,0
80,8.000,replay,0.000000,0.013847,0.013847,8,10,0
81,8.100,replay,0.000000,0.019206,0.019206,8,10,0
82,8.200,replay,0.000000,0.014627,0.014627,8,10,0
83,8.300,replay,0.000000,0.016892,0.016892,8,10,0
84,8.400,replay,0.000000,0.022431,0.022431,8,10,0
85,8.500,replay,0.000000,0.015038,0.015038,8,10,0
86,8.600,replay,0.000000,0.013705,0.013705,8,10,0
87,8.700,replay,0.000000,0.013886,0.013886,8,10,0
