NAME                                      CPU(cores)   MEMORY(bytes)   
compose-post-service-74986b4f54-5h8lq     40m          46Mi            
home-timeline-redis-586f566fdf-x2v2z      17m          46Mi            
home-timeline-service-66997fc4b8-gn9fp    55m          49Mi            
jaeger-5cff57d7f7-q2x4c                   3m           52Mi            
media-frontend-f5c5656f8-jvjpf            3m           58Mi            
media-memcached-5cbf7bf886-fcwz9          4m           43Mi            
media-mongodb-8cfdd7ff5-jljlk             9m           98Mi            
media-service-69ddcfdf4d-szmbh            6m           45Mi            
nginx-thrift-6f95859b9-hmc5j              46m          56Mi            
post-storage-memcached-85b4b99dbb-rvbzg   46m          46Mi            
post-storage-mongodb-7645bf8bbf-64rs4     21m          101Mi           
post-storage-service-5b68798f65-ccbgs     54m          47Mi            
social-graph-mongodb-7fdbdf58b5-dgq85     11m          99Mi            
social-graph-redis-859d5fcd6d-8568x       5m           44Mi            
social-graph-service-7dc59bf66c-zdxpk     17m          44Mi            
text-service-555696dcc-5xz5x              21m          45Mi            
unique-id-service-f576d5678-4rlcm         8m           44Mi            
url-shorten-memcached-bb4979b5b-vmbmq     4m           44Mi            
url-shorten-mongodb-6f48587c6d-5t9cz      6m           102Mi           
url-shorten-service-846d8494-pw6nz        7m           46Mi            
user-memcached-75b685b7f6-2xq7t           4m           43Mi            
user-mention-service-85df4557d9-5qpvl     7m           47Mi            
user-mongodb-97768cbd4-jczfh              7m           100Mi           
user-service-76cc87fb77-745k2             11m          46Mi            
user-timeline-mongodb-69d975c85b-9cmn5    32m          101Mi           
user-timeline-redis-75bb68b85-lzdp2       10m          46Mi            
user-timeline-service-6cf8745f96-m7xh5    33m          46Mi            
