NAME                     READY   UP-TO-DATE   AVAILABLE   AGE    CONTAINERS               IMAGES                                                         SELECTOR
compose-post-service     1/1     1            1           2m9s   compose-post-service     docker.io/deathstarbench/social-network-microservices:latest   service=compose-post-service
home-timeline-redis      1/1     1            1           2m9s   home-timeline-redis      docker.io/library/redis:6.2.4                                  service=home-timeline-redis
home-timeline-service    1/1     1            1           2m9s   home-timeline-service    docker.io/deathstarbench/social-network-microservices:latest   service=home-timeline-service
jaeger                   1/1     1            1           2m9s   jaeger                   docker.io/jaegertracing/all-in-one:latest                      service=jaeger
media-frontend           1/1     1            1           2m9s   media-frontend           docker.io/yg397/media-frontend:xenial                          service=media-frontend
media-memcached          1/1     1            1           2m9s   media-memcached          docker.io/library/memcached:1.6.7                              service=media-memcached
media-mongodb            1/1     1            1           2m9s   media-mongodb            docker.io/library/mongo:4.4.6                                  service=media-mongodb
media-service            1/1     1            1           2m9s   media-service            docker.io/deathstarbench/social-network-microservices:latest   service=media-service
nginx-thrift             1/1     1            1           2m9s   nginx-thrift             docker.io/yg397/openresty-thrift:xenial                        service=nginx-thrift
post-storage-memcached   1/1     1            1           2m9s   post-storage-memcached   docker.io/library/memcached:1.6.7                              service=post-storage-memcached
post-storage-mongodb     1/1     1            1           2m9s   post-storage-mongodb     docker.io/library/mongo:4.4.6                                  service=post-storage-mongodb
post-storage-service     1/1     1            1           2m9s   post-storage-service     docker.io/deathstarbench/social-network-microservices:latest   service=post-storage-service
social-graph-mongodb     1/1     1            1           2m9s   social-graph-mongodb     docker.io/library/mongo:4.4.6                                  service=social-graph-mongodb
social-graph-redis       1/1     1            1           2m9s   social-graph-redis       docker.io/library/redis:6.2.4                                  service=social-graph-redis
social-graph-service     1/1     1            1           2m9s   social-graph-service     docker.io/deathstarbench/social-network-microservices:latest   service=social-graph-service
text-service             1/1     1            1           2m9s   text-service             docker.io/deathstarbench/social-network-microservices:latest   service=text-service
unique-id-service        1/1     1            1           2m9s   unique-id-service        docker.io/deathstarbench/social-network-microservices:latest   service=unique-id-service
url-shorten-memcached    1/1     1            1           2m9s   url-shorten-memcached    docker.io/library/memcached:1.6.7                              service=url-shorten-memcached
url-shorten-mongodb      1/1     1            1           2m9s   url-shorten-mongodb      docker.io/library/mongo:4.4.6                                  service=url-shorten-mongodb
url-shorten-service      1/1     1            1           2m9s   url-shorten-service      docker.io/deathstarbench/social-network-microservices:latest   service=url-shorten-service
user-memcached           1/1     1            1           2m9s   user-memcached           docker.io/library/memcached:1.6.7                              service=user-memcached
user-mention-service     1/1     1            1           2m9s   user-mention-service     docker.io/deathstarbench/social-network-microservices:latest   service=user-mention-service
user-mongodb             1/1     1            1           2m9s   user-mongodb             docker.io/library/mongo:4.4.6                                  service=user-mongodb
user-service             1/1     1            1           2m9s   user-service             docker.io/deathstarbench/social-network-microservices:latest   service=user-service
user-timeline-mongodb    1/1     1            1           2m9s   user-timeline-mongodb    docker.io/library/mongo:4.4.6                                  service=user-timeline-mongodb
user-timeline-redis      1/1     1            1           2m9s   user-timeline-redis      docker.io/library/redis:6.2.4                                  service=user-timeline-redis
user-timeline-service    1/1     1            1           2m9s   user-timeline-service    docker.io/deathstarbench/social-network-microservices:latest   service=user-timeline-service
