NAME             CPU(cores)   CPU(%)   MEMORY(bytes)   MEMORY(%)   
emu-worker-1     65m          1%       2984Mi          18%         
emu-worker-10    75m          1%       2923Mi          18%         
emu-worker-11    48m          2%       2203Mi          24%         
emu-worker-12    74m          3%       2150Mi          24%         
emu-worker-13    53m          2%       2125Mi          24%         
emu-worker-14    55m          2%       2271Mi          25%         
emu-worker-15    54m          2%       2178Mi          24%         
emu-worker-16    35m          1%       2263Mi          25%         
emu-worker-17    61m          3%       2261Mi          25%         
emu-worker-18    29m          1%       2105Mi          23%         
emu-worker-19    42m          2%       2126Mi          24%         
emu-worker-2     89m          2%       4235Mi          26%         
emu-worker-20    49m          2%       2207Mi          24%         
emu-worker-21    29m          1%       2055Mi          23%         
emu-worker-22    49m          2%       2123Mi          24%         
emu-worker-23    74m          3%       2404Mi          27%         
emu-worker-24    56m          2%       2220Mi          25%         
emu-worker-25    47m          2%       2305Mi          26%         
emu-worker-26    51m          2%       2125Mi          24%         
emu-worker-27    40m          2%       2057Mi          23%         
emu-worker-28    50m          2%       2058Mi          23%         
emu-worker-29    54m          2%       2130Mi          24%         
emu-worker-3     76m          1%       3163Mi          19%         
emu-worker-30    53m          2%       2290Mi          25%         
emu-worker-31    51m          2%       2119Mi          23%         
emu-worker-32    31m          1%       2130Mi          24%         
emu-worker-33    47m          2%       2192Mi          24%         
emu-worker-34    33m          1%       2046Mi          23%         
emu-worker-35    48m          2%       2119Mi          23%         
emu-worker-36    54m          2%       2124Mi          24%         
emu-worker-37    57m          2%       2307Mi          26%         
emu-worker-38    147m         7%       2331Mi          26%         
emu-worker-39    53m          2%       2301Mi          26%         
emu-worker-4     32m          0%       2795Mi          17%         
emu-worker-40    37m          1%       2299Mi          26%         
emu-worker-41    58m          2%       2125Mi          24%         
emu-worker-42    85m          4%       2216Mi          25%         
emu-worker-43    52m          2%       2249Mi          25%         
emu-worker-44    64m          3%       2209Mi          25%         
emu-worker-45    30m          1%       2327Mi          26%         
emu-worker-5     61m          1%       2577Mi          16%         
emu-worker-6     78m          1%       3088Mi          19%         
emu-worker-7     102m         2%       3265Mi          20%         
emu-worker-8     208m         5%       3387Mi          21%         
emu-worker-9     196m         4%       3974Mi          25%         
k8s-emu-master   439m         2%       8961Mi          13%         
