NAME                     TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                                                            AGE    SELECTOR
compose-post-service     ClusterIP   10.105.114.23    <none>        9090/TCP                                                           2m9s   service=compose-post-service
home-timeline-redis      ClusterIP   10.101.29.25     <none>        6379/TCP                                                           2m9s   service=home-timeline-redis
home-timeline-service    ClusterIP   10.105.105.3     <none>        9090/TCP                                                           2m9s   service=home-timeline-service
jaeger                   ClusterIP   10.96.101.72     <none>        5775/UDP,6831/UDP,6832/UDP,5778/TCP,16686/TCP,14268/TCP,9411/TCP   2m9s   service=jaeger
media-frontend           ClusterIP   10.99.226.127    <none>        8081/TCP                                                           2m9s   service=media-frontend
media-memcached          ClusterIP   10.109.216.76    <none>        11211/TCP                                                          2m9s   service=media-memcached
media-mongodb            ClusterIP   10.100.35.184    <none>        27017/TCP                                                          2m9s   service=media-mongodb
media-service            ClusterIP   10.111.212.148   <none>        9090/TCP                                                           2m9s   service=media-service
nginx-thrift             ClusterIP   10.100.80.183    <none>        8080/TCP                                                           2m9s   service=nginx-thrift
post-storage-memcached   ClusterIP   10.100.161.114   <none>        11211/TCP                                                          2m9s   service=post-storage-memcached
post-storage-mongodb     ClusterIP   10.107.185.205   <none>        27017/TCP                                                          2m9s   service=post-storage-mongodb
post-storage-service     ClusterIP   10.98.147.124    <none>        9090/TCP                                                           2m9s   service=post-storage-service
social-graph-mongodb     ClusterIP   10.107.214.230   <none>        27017/TCP                                                          2m9s   service=social-graph-mongodb
social-graph-redis       ClusterIP   10.111.196.186   <none>        6379/TCP                                                           2m9s   service=social-graph-redis
social-graph-service     ClusterIP   10.106.235.50    <none>        9090/TCP                                                           2m9s   service=social-graph-service
text-service             ClusterIP   10.101.162.110   <none>        9090/TCP                                                           2m9s   service=text-service
unique-id-service        ClusterIP   10.96.247.157    <none>        9090/TCP                                                           2m9s   service=unique-id-service
url-shorten-memcached    ClusterIP   10.98.242.250    <none>        11211/TCP                                                          2m9s   service=url-shorten-memcached
url-shorten-mongodb      ClusterIP   10.108.100.136   <none>        27017/TCP                                                          2m9s   service=url-shorten-mongodb
url-shorten-service      ClusterIP   10.107.229.31    <none>        9090/TCP                                                           2m9s   service=url-shorten-service
user-memcached           ClusterIP   10.101.176.44    <none>        11211/TCP                                                          2m9s   service=user-memcached
user-mention-service     ClusterIP   10.107.83.93     <none>        9090/TCP                                                           2m9s   service=user-mention-service
user-mongodb             ClusterIP   10.97.163.6      <none>        27017/TCP                                                          2m9s   service=user-mongodb
user-service             ClusterIP   10.102.147.53    <none>        9090/TCP                                                           2m9s   service=user-service
user-timeline-mongodb    ClusterIP   10.108.65.236    <none>        27017/TCP                                                          2m9s   service=user-timeline-mongodb
user-timeline-redis      ClusterIP   10.110.176.162   <none>        6379/TCP                                                           2m9s   service=user-timeline-redis
user-timeline-service    ClusterIP   10.102.225.205   <none>        9090/TCP                                                           2m9s   service=user-timeline-service
