application,source_run_id,evidence_type,steps,mean_query_latency_ms,p95_query_latency_ms,mean_build_time_ms,p95_build_time_ms,mean_total_time_ms,p95_total_time_ms,mean_active_edges,max_active_edges
online-boutique-longmix,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,replay,1000,0.000000,0.000000,0.010646,0.015729,0.010646,0.015729,9.049000,14
moe-serving-longmix,moe-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T141957Z,replay,1000,0.000000,0.000000,0.018362,0.031094,0.018362,0.031094,10.815000,13
