step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.035040,0.000000,12,0.483916,1.012120,,,92.253061,126.000000,0.732167,0.000000
1,5.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.924022,0.000000,0.011976,1.000000,0.00239529,1.035040,0.000000,12,0.483916,1.012120,,,93.839220,126.000000,0.744756,0.000000
2,10.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.953115,0.000000,0.030524,1.000000,0.00610475,1.035040,0.000000,12,0.483916,1.012120,,,97.768605,126.000000,0.775941,0.000000
3,15.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.983261,0.000000,0.030659,1.000000,0.00613180,1.035040,0.000000,12,0.483916,1.012120,,,98.352452,126.000000,0.780575,0.000000
4,20.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.929781,0.000000,0.054390,1.000000,0.01087808,1.035040,0.000000,12,0.483916,1.012120,,,97.721646,126.000000,0.775569,0.000000
5,25.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.928188,0.000000,0.001713,1.000000,0.00034268,1.035040,0.000000,12,0.483916,1.012120,,,97.849732,126.000000,0.776585,0.000000
6,30.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.941149,0.000000,0.761754,0.114639,0.15235081,1.035040,1.000000,12,0.492045,1.410549,,,135.685158,132.400000,1.024812,0.024812
7,35.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.994748,0.000000,0.765776,0.114639,0.15315519,1.035040,1.000000,12,0.483916,1.012120,,,129.061516,126.000000,1.024298,0.024298
8,40.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.934743,0.000000,0.766331,0.114639,0.15326612,1.035040,1.000000,12,0.492045,1.410549,,,137.506048,132.400000,1.038565,0.038565
9,45.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.995077,0.000000,0.060632,1.000000,0.01212642,1.035040,0.000000,12,0.492045,1.410549,,,109.388356,132.400000,0.826196,0.000000
10,50.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.988230,0.000000,0.006880,1.000000,0.00137610,1.035040,0.000000,12,0.492045,1.410549,,,103.833485,132.400000,0.784241,0.000000
11,55.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.936668,0.000000,0.052177,1.000000,0.01043534,1.035040,0.000000,12,0.492045,1.410549,,,104.591601,132.400000,0.789967,0.000000
12,60.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.977566,0.000000,0.764746,0.114639,0.15294925,1.035040,1.000000,12,0.483916,1.012120,,,126.634340,126.000000,1.005034,0.005034
