policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,92.253061,126.000000,0.732167,0.000000
cga,CGA,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,89.265939,126.000000,0.708460,0.000000
hda,HDA,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,81.087022,126.000000,0.643548,0.000000
kubernetes-default,K8s default,1,5.000,replay/model/control-plane,0.924022,0.011976,12,1.035040,0.000000,0.483916,1.012120,,,93.839220,126.000000,0.744756,0.000000
cga,CGA,1,5.000,replay/model/control-plane,0.924022,0.011976,12,1.035040,0.000000,0.483916,1.012120,,,89.198179,126.000000,0.707922,0.000000
hda,HDA,1,5.000,replay/model/control-plane,0.924022,0.011976,12,1.035040,0.000000,0.483916,1.012120,,,84.620688,126.000000,0.671593,0.000000
kubernetes-default,K8s default,2,10.000,replay/model/control-plane,0.953115,0.030524,12,1.035040,0.000000,0.483916,1.012120,,,97.768605,126.000000,0.775941,0.000000
cga,CGA,2,10.000,replay/model/control-plane,0.953115,0.030524,12,1.035040,0.000000,0.483916,1.012120,,,90.137648,126.000000,0.715378,0.000000
hda,HDA,2,10.000,replay/model/control-plane,0.953115,0.030524,12,1.035040,0.000000,0.483916,1.012120,,,88.861038,126.000000,0.705246,0.000000
kubernetes-default,K8s default,3,15.000,replay/model/control-plane,0.983261,0.030659,12,1.035040,0.000000,0.483916,1.012120,,,98.352452,126.000000,0.780575,0.000000
cga,CGA,3,15.000,replay/model/control-plane,0.983261,0.030659,12,1.035040,0.000000,0.483916,1.012120,,,95.412627,126.000000,0.757243,0.000000
hda,HDA,3,15.000,replay/model/control-plane,0.983261,0.030659,12,1.035040,0.000000,0.483916,1.012120,,,85.491871,126.000000,0.678507,0.000000
kubernetes-default,K8s default,4,20.000,replay/model/control-plane,0.929781,0.054390,12,1.035040,0.000000,0.483916,1.012120,,,97.721646,126.000000,0.775569,0.000000
cga,CGA,4,20.000,replay/model/control-plane,0.929781,0.054390,12,1.035040,0.000000,0.483916,1.012120,,,91.220843,126.000000,0.723975,0.000000
hda,HDA,4,20.000,replay/model/control-plane,0.929781,0.054390,12,1.035040,0.000000,0.483916,1.012120,,,87.264964,126.000000,0.692579,0.000000
kubernetes-default,K8s default,5,25.000,replay/model/control-plane,0.928188,0.001713,12,1.035040,0.000000,0.483916,1.012120,,,97.849732,126.000000,0.776585,0.000000
cga,CGA,5,25.000,replay/model/control-plane,0.928188,0.001713,12,1.035040,0.000000,0.483916,1.012120,,,89.892383,126.000000,0.713432,0.000000
hda,HDA,5,25.000,replay/model/control-plane,0.928188,0.001713,12,1.035040,0.000000,0.483916,1.012120,,,85.937737,126.000000,0.682046,0.000000
kubernetes-default,K8s default,6,30.000,replay/model/control-plane,0.941149,0.761754,12,1.035040,1.000000,0.492045,1.410549,,,135.685158,132.400000,1.024812,0.024812
cga,CGA,6,30.000,replay/model/control-plane,0.941149,0.761754,12,1.035040,1.000000,0.492045,1.410549,,,132.152116,132.400000,0.998128,0.000000
hda,HDA,6,30.000,replay/model/control-plane,0.941149,0.761754,12,1.035040,1.000000,0.492045,1.410549,,,121.330906,132.400000,0.916397,0.000000
kubernetes-default,K8s default,7,35.000,replay/model/control-plane,0.994748,0.765776,12,1.035040,1.000000,0.483916,1.012120,,,129.061516,126.000000,1.024298,0.024298
