NAMESPACE                               NAME                              TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                                      AGE
calico-system                           calico-api                        ClusterIP      10.104.253.153   <none>        443/TCP                                      7d3h
calico-system                           calico-kube-controllers-metrics   ClusterIP      None             <none>        9094/TCP                                     7d3h
calico-system                           calico-typha                      ClusterIP      10.106.19.83     <none>        5473/TCP                                     7d3h
calico-system                           goldmane                          ClusterIP      10.105.192.191   <none>        7443/TCP                                     7d3h
calico-system                           whisker                           ClusterIP      10.99.52.2       <none>        8081/TCP                                     7d3h
default                                 kubernetes                        ClusterIP      10.96.0.1        <none>        443/TCP                                      7d3h
istio-system                            istio-ingressgateway              LoadBalancer   10.105.138.25    <pending>     15021:30427/TCP,80:32145/TCP,443:31298/TCP   2d10h
istio-system                            istiod                            ClusterIP      10.104.95.78     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP        2d10h
istio-system                            istiod-revision-tag-default       ClusterIP      10.97.176.25     <none>        15010/TCP,15012/TCP,443/TCP,15014/TCP        2d9h
istio-system                            prometheus                        ClusterIP      10.111.103.6     <none>        9090/TCP                                     2d9h
kube-system                             kube-dns                          ClusterIP      10.96.0.10       <none>        53/UDP,53/TCP,9153/TCP                       7d3h
social-smoke-scale10-20260523t172628z   compose-post-service              ClusterIP      10.110.6.29      <none>        8080/TCP                                     17s
social-smoke-scale10-20260523t172628z   home-timeline-service             ClusterIP      10.105.100.5     <none>        8080/TCP                                     17s
social-smoke-scale10-20260523t172628z   media-service                     ClusterIP      10.100.140.217   <none>        8080/TCP                                     16s
social-smoke-scale10-20260523t172628z   nginx-thrift                      ClusterIP      10.99.9.251      <none>        8080/TCP                                     17s
social-smoke-scale10-20260523t172628z   text-service                      ClusterIP      10.110.166.245   <none>        8080/TCP                                     16s
social-smoke-scale10-20260523t172628z   unique-id-service                 ClusterIP      10.106.113.23    <none>        8080/TCP                                     16s
social-smoke-scale10-20260523t172628z   user-service                      ClusterIP      10.106.38.151    <none>        8080/TCP                                     17s
social-smoke-scale10-20260523t172628z   user-timeline-service             ClusterIP      10.97.120.203    <none>        8080/TCP                                     17s
