run_id,metric,unit,run,sources
policy2-policy3-live-20260603T082825Z-scale20,latency_p50_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,latency_p95_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,latency_p99_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,throughput_rps,requests/s,n/a,
policy2-policy3-live-20260603T082825Z-scale20,sla_violations,count,n/a,
policy2-policy3-live-20260603T082825Z-scale20,sla_violation_rate,ratio,n/a,
policy2-policy3-live-20260603T082825Z-scale20,scheduler_decision_time_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,gda_build_time_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,ndm_injection_time_ms,ms,n/a,
policy2-policy3-live-20260603T082825Z-scale20,cpu_overhead_pct,percent,n/a,
policy2-policy3-live-20260603T082825Z-scale20,memory_overhead_mb,MiB,n/a,
policy2-policy3-live-20260603T082825Z-scale20,migration_count,count,n/a,
policy2-policy3-live-20260603T082825Z-scale20,network_target_vs_measured_error,unitless,n/a,
policy2-policy3-live-20260603T082825Z-scale20,placement_cost_reduction_pct,percent,n/a,
