NAME                         READY   STATUS    RESTARTS   AGE   IP                NODE            NOMINATED NODE   READINESS GATES
aggregator-8874c879-brfxm    1/1     Running   0          12s   192.168.65.16     emu-worker-1    <none>           <none>
cache-5d4979b89-vhgqx        1/1     Running   0          12s   192.168.71.76     emu-worker-9    <none>           <none>
expert-0-9d95cfdf7-pg7r4     1/1     Running   0          12s   192.168.65.13     emu-worker-1    <none>           <none>
expert-1-5fb9b45d89-85kqn    1/1     Running   0          11s   192.168.65.12     emu-worker-1    <none>           <none>
expert-2-7cd74899c-jt2dd     1/1     Running   0          10s   192.168.42.97     emu-worker-3    <none>           <none>
expert-3-5b66db7bf7-rqgmw    1/1     Running   0          10s   192.168.135.111   emu-worker-4    <none>           <none>
expert-4-766cbc68c7-xqqqc    1/1     Running   0          9s    192.168.82.209    emu-worker-10   <none>           <none>
expert-5-66d97b9877-7hzb4    1/1     Running   0          9s    192.168.137.215   emu-worker-2    <none>           <none>
frontend-78b5f48669-mgpn2    1/1     Running   0          12s   192.168.65.17     emu-worker-1    <none>           <none>
router-754bdfdc75-4x5bx      1/1     Running   0          12s   192.168.65.14     emu-worker-1    <none>           <none>
tokenizer-54949b6f95-ndpvx   1/1     Running   0          12s   192.168.65.18     emu-worker-1    <none>           <none>
