NAME                          READY   STATUS    RESTARTS   AGE   IP                NODE           NOMINATED NODE   READINESS GATES
aggregator-55877c748c-ld5zs   1/1     Running   0          7s    192.168.65.24     emu-worker-1   <none>           <none>
cache-58c94bf84c-822n7        1/1     Running   0          5s    192.168.99.229    emu-worker-6   <none>           <none>
expert-0-7985f6d469-rjncz     1/1     Running   0          5s    192.168.65.19     emu-worker-1   <none>           <none>
expert-1-66b4c4f79c-p475r     1/1     Running   0          5s    192.168.65.25     emu-worker-1   <none>           <none>
expert-2-75c5d96787-4cmjf     1/1     Running   0          4s    192.168.222.39    emu-worker-7   <none>           <none>
expert-3-8bb6d94c9-rwfhn      1/1     Running   0          4s    192.168.135.112   emu-worker-4   <none>           <none>
expert-4-5ccdc55895-p6hj5     1/1     Running   0          4s    192.168.71.77     emu-worker-9   <none>           <none>
expert-5-69f594747f-6zc4w     1/1     Running   0          4s    192.168.42.100    emu-worker-3   <none>           <none>
frontend-6699859f77-xwwqj     1/1     Running   0          7s    192.168.65.21     emu-worker-1   <none>           <none>
router-7d589868f5-6584f       1/1     Running   0          7s    192.168.65.34     emu-worker-1   <none>           <none>
tokenizer-6cc6c9c4f9-w6sqj    1/1     Running   0          7s    192.168.65.27     emu-worker-1   <none>           <none>
