NAME            STATUS   ROLES    AGE   VERSION   INTERNAL-IP      EXTERNAL-IP   OS-IMAGE             KERNEL-VERSION               CONTAINER-RUNTIME
emu-worker-25   Ready    <none>   10d   v1.36.0   172.26.132.117   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-26   Ready    <none>   10d   v1.36.0   172.26.129.158   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-27   Ready    <none>   10d   v1.36.0   172.26.132.224   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-28   Ready    <none>   10d   v1.36.0   172.26.133.193   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-29   Ready    <none>   10d   v1.36.0   172.26.136.1     <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-3    Ready    <none>   17d   v1.36.0   172.26.128.41    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-30   Ready    <none>   10d   v1.36.0   172.26.134.232   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-31   Ready    <none>   10d   v1.36.0   172.26.129.233   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-32   Ready    <none>   10d   v1.36.0   172.26.135.221   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-33   Ready    <none>   10d   v1.36.0   172.26.130.136   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-34   Ready    <none>   10d   v1.36.0   172.26.129.122   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-35   Ready    <none>   10d   v1.36.0   172.26.132.26    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-36   Ready    <none>   10d   v1.36.0   172.26.129.126   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-37   Ready    <none>   10d   v1.36.0   172.26.129.74    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-38   Ready    <none>   10d   v1.36.0   172.26.132.12    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-39   Ready    <none>   10d   v1.36.0   172.26.129.170   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-4    Ready    <none>   17d   v1.36.0   172.26.133.155   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-40   Ready    <none>   10d   v1.36.0   172.26.131.113   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-41   Ready    <none>   10d   v1.36.0   172.26.135.168   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-42   Ready    <none>   10d   v1.36.0   172.26.133.7     <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-43   Ready    <none>   10d   v1.36.0   172.26.131.147   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-44   Ready    <none>   10d   v1.36.0   172.26.132.81    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-45   Ready    <none>   10d   v1.36.0   172.26.133.81    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-5    Ready    <none>   17d   v1.36.0   172.26.131.102   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-6    Ready    <none>   17d   v1.36.0   172.26.133.114   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-7    Ready    <none>   17d   v1.36.0   172.26.135.227   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-8    Ready    <none>   17d   v1.36.0   172.26.135.182   <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
emu-worker-9    Ready    <none>   17d   v1.36.0   172.26.133.87    <none>        Ubuntu 22.04.5 LTS   5.15.0-177-generic (amd64)   cri-o://1.36.0
