run_id,metric,unit,run,sources
observability-istio-prometheus-20260521T074000Z,latency_p50_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,latency_p95_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,latency_p99_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,throughput_rps,requests/s,n/a,
observability-istio-prometheus-20260521T074000Z,sla_violations,count,n/a,
observability-istio-prometheus-20260521T074000Z,sla_violation_rate,ratio,n/a,
observability-istio-prometheus-20260521T074000Z,scheduler_decision_time_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,gda_build_time_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,ndm_injection_time_ms,ms,n/a,
observability-istio-prometheus-20260521T074000Z,cpu_overhead_pct,percent,n/a,
observability-istio-prometheus-20260521T074000Z,memory_overhead_mb,MiB,n/a,
observability-istio-prometheus-20260521T074000Z,migration_count,count,n/a,
observability-istio-prometheus-20260521T074000Z,network_target_vs_measured_error,unitless,n/a,
observability-istio-prometheus-20260521T074000Z,placement_cost_reduction_pct,percent,n/a,
