step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.035040,0.000000,12,0.483916,1.012120,,,92.253061,126.000000,0.732167,0.000000
1,5.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.928183,0.000000,0.016406,1.000000,0.00328113,1.035040,0.000000,12,0.483916,1.012120,,,94.196736,126.000000,0.747593,0.000000
2,10.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.961297,0.000000,0.034447,1.000000,0.00688949,1.035040,0.000000,12,0.483916,1.012120,,,98.261061,126.000000,0.779850,0.000000
3,15.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.995320,0.000000,0.034183,1.000000,0.00683660,1.035040,0.000000,12,0.483916,1.012120,,,98.978863,126.000000,0.785547,0.000000
4,20.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.945569,0.000000,0.049986,1.000000,0.00999715,1.035040,0.000000,12,0.483916,1.012120,,,98.144909,126.000000,0.778928,0.000000
5,25.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.947550,0.000000,0.002091,1.000000,0.00041817,1.035040,0.000000,12,0.483916,1.012120,,,98.623106,126.000000,0.782723,0.000000
6,30.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.963928,0.000000,0.761874,0.114639,0.15237478,1.035040,1.000000,12,0.492045,1.410549,,,136.653016,132.400000,1.032122,0.032122
7,35.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,1.020780,0.000000,0.765932,0.114639,0.15318636,1.035040,1.000000,12,0.483916,1.012120,,,130.085807,126.000000,1.032427,0.032427
8,40.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.963861,0.000000,0.765937,0.114639,0.15318748,1.035040,1.000000,12,0.492045,1.410549,,,138.719245,132.400000,1.047728,0.047728
9,45.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,1.027110,0.000000,0.061580,1.000000,0.01231595,1.035040,0.000000,12,0.492045,1.410549,,,110.783761,132.400000,0.836735,0.000000
