step,time_s,source,destination,weight
0,0.0,compose-post-service,home-timeline-service,11.503242
0,0.0,compose-post-service,media-service,5.751621
0,0.0,compose-post-service,post-storage-service,13.146562
0,0.0,compose-post-service,url-shorten-service,7.394941
0,0.0,compose-post-service,user-mention-service,7.394941
0,0.0,compose-post-service,user-service,9.859922
0,0.0,compose-post-service,user-timeline-service,9.859922
0,0.0,home-timeline-service,post-storage-service,51.764589
0,0.0,home-timeline-service,social-graph-service,40.261347
0,0.0,home-timeline-service,user-service,28.758105
0,0.0,nginx-thrift,compose-post-service,16.433203
0,0.0,nginx-thrift,home-timeline-service,57.516210
0,0.0,nginx-thrift,user-timeline-service,8.216601
0,0.0,user-timeline-service,post-storage-service,6.984111
1,5.0,compose-post-service,home-timeline-service,11.714527
1,5.0,compose-post-service,media-service,5.857263
1,5.0,compose-post-service,post-storage-service,13.388031
1,5.0,compose-post-service,url-shorten-service,7.530767
1,5.0,compose-post-service,user-mention-service,7.530767
1,5.0,compose-post-service,user-service,10.041023
1,5.0,compose-post-service,user-timeline-service,10.041023
1,5.0,home-timeline-service,post-storage-service,52.310579
1,5.0,home-timeline-service,social-graph-service,40.686006
1,5.0,home-timeline-service,user-service,29.061433
1,5.0,nginx-thrift,compose-post-service,16.735038
1,5.0,nginx-thrift,home-timeline-service,58.122865
1,5.0,nginx-thrift,user-timeline-service,8.398487
1,5.0,user-timeline-service,post-storage-service,7.138714
2,10.0,compose-post-service,home-timeline-service,12.156390
2,10.0,compose-post-service,media-service,6.078195
2,10.0,compose-post-service,post-storage-service,13.893018
2,10.0,compose-post-service,url-shorten-service,7.814822
2,10.0,compose-post-service,user-mention-service,7.814822
2,10.0,compose-post-service,user-service,10.419763
2,10.0,compose-post-service,user-timeline-service,10.419763
2,10.0,home-timeline-service,post-storage-service,53.868872
2,10.0,home-timeline-service,social-graph-service,41.898011
2,10.0,home-timeline-service,user-service,29.927151
2,10.0,nginx-thrift,compose-post-service,17.366272
2,10.0,nginx-thrift,home-timeline-service,59.854302
2,10.0,nginx-thrift,user-timeline-service,8.747011
2,10.0,user-timeline-service,post-storage-service,7.434959
3,15.0,compose-post-service,home-timeline-service,12.615149
3,15.0,compose-post-service,media-service,6.307574
3,15.0,compose-post-service,post-storage-service,14.417313
3,15.0,compose-post-service,url-shorten-service,8.109739
3,15.0,compose-post-service,user-mention-service,8.109739
3,15.0,compose-post-service,user-service,10.812985
3,15.0,compose-post-service,user-timeline-service,10.812985
3,15.0,home-timeline-service,post-storage-service,55.476647
3,15.0,home-timeline-service,social-graph-service,43.148503
3,15.0,home-timeline-service,user-service,30.820360
3,15.0,nginx-thrift,compose-post-service,18.021641
3,15.0,nginx-thrift,home-timeline-service,61.640719
3,15.0,nginx-thrift,user-timeline-service,9.109640
3,15.0,user-timeline-service,post-storage-service,7.743194
3,15.0,user-timeline-service,user-service,5.010302
4,20.0,compose-post-service,home-timeline-service,12.002638
4,20.0,compose-post-service,media-service,6.001319
4,20.0,compose-post-service,post-storage-service,13.717301
4,20.0,compose-post-service,url-shorten-service,7.715982
4,20.0,compose-post-service,user-mention-service,7.715982
4,20.0,compose-post-service,user-service,10.287976
4,20.0,compose-post-service,user-timeline-service,10.287976
4,20.0,home-timeline-service,post-storage-service,52.383573
