service_count,repetition,mode,scenario,vertex_count,active_edges,graph_edges,replicas,scrape_interval_seconds,query_count,prometheus_query_latency_ms,graph_build_wall_ms,graph_build_cpu_ms,peak_python_memory_mib,dense_pairwise_enabled,dense_skipped_reason
50,0,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.24239,1.235307,0.097862,True,
50,0,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.276621,0.274225,0.000916,True,
50,1,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,0.935903,0.932719,0.077873,True,
50,1,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.221977,0.220293,9.2e-05,True,
50,2,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,0.912098,0.909076,0.077736,True,
50,2,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.224884,0.223309,9.2e-05,True,
50,3,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,0.938678,0.935464,0.077736,True,
50,3,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.221749,0.219912,9.2e-05,True,
50,4,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.001816,0.998091,0.077736,True,
50,4,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.356993,0.354114,9.2e-05,True,
50,5,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,1.165165,1.161858,0.077847,True,
50,5,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.280027,0.27753,9.2e-05,True,
50,6,sparse-aggregate,synthetic_control_plane,50,200,200,1,15.0,2,0.0,0.932156,0.928691,0.077736,True,
50,6,dense-pairwise,synthetic_control_plane,50,200,200,1,15.0,4900,0.0,0.227688,0.225944,9.2e-05,True,
100,0,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.176138,2.172134,0.192764,True,
100,0,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.816167,0.814378,0.000145,True,
100,1,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,1.844234,1.841022,0.182159,True,
100,1,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.840243,0.838402,0.000145,True,
100,2,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,1.874149,1.853454,0.182159,True,
100,2,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.837447,0.835497,0.000145,True,
100,3,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,2.190516,2.186811,0.182159,True,
100,3,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.857776,0.855664,0.000145,True,
100,4,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,1.847519,1.844638,0.182159,True,
100,4,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.82757,0.825769,0.000145,True,
100,5,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,1.827662,1.824401,0.182159,True,
100,5,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.813622,0.811902,0.000145,True,
100,6,sparse-aggregate,synthetic_control_plane,100,400,400,1,15.0,2,0.0,1.83201,1.82961,0.182198,True,
100,6,dense-pairwise,synthetic_control_plane,100,400,400,1,15.0,19800,0.0,0.848999,0.847188,0.000145,True,
