step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.969300,0.000000,0.000000,1.000000,0.00000000,1.636641,0.000000,8,0.406120,0.093267,,,60.611391,108.333333,0.559490,0.000000
1,0.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.969753,0.000000,0.000467,1.000000,0.00467271,1.636641,0.000000,8,0.406120,0.093267,,,65.016259,108.333333,0.600150,0.000000
2,0.200,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.965329,0.000000,0.004561,1.000000,0.04561287,1.636641,0.000000,8,0.406120,0.093267,,,63.154083,108.333333,0.582961,0.000000
3,0.300,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.003365,0.000000,0.037908,1.000000,0.37907999,1.636641,0.000000,8,0.406120,0.093267,,,63.505465,108.333333,0.586204,0.000000
4,0.400,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.973969,0.000000,0.029298,1.000000,0.29297658,1.636641,0.000000,8,0.406120,0.093267,,,61.274067,108.333333,0.565607,0.000000
5,0.500,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.950293,0.000000,0.024309,1.000000,0.24308671,1.636641,0.000000,8,0.406120,0.093267,,,65.362114,108.333333,0.603343,0.000000
6,0.600,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.004494,0.000000,0.053959,1.000000,0.53958766,1.636641,0.000000,8,0.406120,0.093267,,,65.495834,108.333333,0.604577,0.000000
7,0.700,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.949689,0.000000,0.054560,1.000000,0.54559634,1.636641,0.000000,8,0.406120,0.093267,,,67.554617,108.333333,0.623581,0.000000
8,0.800,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.048635,0.111111,0.106224,1.000000,1.06224157,1.636641,0.000000,9,0.454272,0.292243,,,67.742500,108.333333,0.625315,0.000000
9,0.900,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.023562,0.111111,0.036701,1.000000,0.36700615,1.636641,0.000000,8,0.406120,0.093267,,,64.337619,108.333333,0.593886,0.000000
10,1.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.962021,0.000000,0.060125,1.000000,0.60124513,1.636641,0.000000,8,0.406120,0.093267,,,68.033944,108.333333,0.628006,0.000000
11,1.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.979831,0.000000,0.018177,1.000000,0.18177191,1.636641,0.000000,8,0.406120,0.093267,,,64.487418,108.333333,0.595268,0.000000
12,1.200,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.060473,0.111111,0.088151,1.000000,0.88150961,1.636641,0.000000,9,0.454272,0.292243,,,72.286246,108.333333,0.667258,0.000000
13,1.300,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.045542,0.000000,0.014080,1.000000,0.14079703,1.636641,0.000000,9,0.454272,0.292243,,,59.787646,108.333333,0.551886,0.000000
14,1.400,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.031876,0.111111,0.026004,1.000000,0.26004215,1.636641,0.000000,8,0.406120,0.093267,,,62.785269,108.333333,0.579556,0.000000
15,1.500,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.013258,0.000000,0.018042,1.000000,0.18042246,1.636641,0.000000,8,0.406120,0.093267,,,60.435318,108.333333,0.557864,0.000000
16,1.600,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.057042,0.111111,0.053982,1.000000,0.53982370,1.636641,0.000000,9,0.454272,0.292243,,,68.553836,108.333333,0.632805,0.000000
17,1.700,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.055676,0.000000,0.001292,1.000000,0.01291937,1.636641,0.000000,9,0.454272,0.292243,,,62.785450,108.333333,0.579558,0.000000
18,1.800,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.987041,0.111111,0.077268,1.000000,0.77267959,1.636641,0.000000,8,0.406120,0.093267,,,64.262800,108.333333,0.593195,0.000000
19,1.900,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.058129,0.111111,0.079407,1.000000,0.79406718,1.636641,0.000000,9,0.454272,0.292243,,,66.891561,108.333333,0.617461,0.000000
20,2.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.009508,0.111111,0.058452,1.000000,0.58451778,1.636641,0.000000,8,0.406120,0.093267,,,64.579653,108.333333,0.596120,0.000000
21,2.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.061507,0.111111,0.061448,1.000000,0.61448217,1.636641,0.000000,9,0.454272,0.292243,,,73.151211,108.333333,0.675242,0.000000
22,2.200,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.989571,0.111111,0.295623,0.866667,2.95623298,1.636641,0.500000,8,0.251809,-0.899226,,,89.483571,129.333333,0.691883,0.000000
23,2.300,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.066518,0.111111,0.081813,1.000000,0.81813086,1.636641,0.000000,9,0.322193,-0.547211,,,88.505707,129.333333,0.684322,0.000000
24,2.400,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.006385,0.111111,0.066211,1.000000,0.66211308,1.636641,0.000000,8,0.251809,-0.899226,,,78.770106,129.333333,0.609047,0.000000
25,2.500,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.077849,0.111111,0.076028,1.000000,0.76027933,1.636641,0.000000,9,0.322193,-0.547211,,,85.509089,129.333333,0.661153,0.000000
26,2.600,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.085278,0.000000,0.006845,1.000000,0.06845267,1.636641,0.000000,9,0.322193,-0.547211,,,74.150243,129.333333,0.573327,0.000000
27,2.700,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.041070,0.111111,0.050727,1.000000,0.50726780,1.636641,0.000000,8,0.251809,-0.899226,,,79.874508,129.333333,0.617586,0.000000
28,2.800,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.010416,0.000000,0.029444,1.000000,0.29444132,1.636641,0.000000,8,0.251809,-0.899226,,,77.079152,129.333333,0.595973,0.000000
29,2.900,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.015355,0.000000,0.004864,1.000000,0.04864144,1.636641,0.000000,8,0.251809,-0.899226,,,79.929244,129.333333,0.618010,0.000000
30,3.000,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.076920,0.111111,0.066989,1.000000,0.66988824,1.636641,0.000000,9,0.322193,-0.547211,,,79.896178,129.333333,0.617754,0.000000
31,3.100,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.055617,0.000000,0.019782,1.000000,0.19781595,1.636641,0.000000,9,0.322193,-0.547211,,,83.447764,129.333333,0.645215,0.000000
32,3.200,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.062638,0.000000,0.006607,1.000000,0.06607019,1.636641,0.000000,9,0.322193,-0.547211,,,81.259727,129.333333,0.628297,0.000000
33,3.300,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.068063,0.000000,0.005079,1.000000,0.05079054,1.636641,0.000000,9,0.322193,-0.547211,,,85.888058,129.333333,0.664083,0.000000
34,3.400,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.011892,0.111111,0.062460,1.000000,0.62460350,1.636641,0.000000,8,0.251809,-0.899226,,,84.151941,129.333333,0.650659,0.000000
35,3.500,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.048180,0.111111,0.044677,1.000000,0.44676653,1.636641,0.000000,9,0.322193,-0.547211,,,80.620708,129.333333,0.623356,0.000000
36,3.600,0.033333,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,3.000000,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.988865,0.111111,0.066416,1.000000,0.66415604,1.636641,0.000000,8,0.251809,-0.899226,,,81.814599,129.333333,0.632587,0.000000
