policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,66.603382,111.526316,0.597199,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,61.654079,111.526316,0.552821,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,53.075675,111.526316,0.475903,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.979490,0.009104,7,1.413390,0.000000,0.382456,1.089210,,,66.491244,112.068186,0.593311,0.000000
cga,CGA,1,1.000,replay,0.979490,0.009104,7,1.413390,0.000000,0.382456,1.089210,,,56.795908,112.068186,0.506798,0.000000
hda,HDA,1,1.000,replay,0.979490,0.009104,7,1.413390,0.000000,0.382456,1.089210,,,54.369213,112.068186,0.485144,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.980291,0.009046,7,1.441732,0.000000,0.376095,1.103989,,,65.922576,112.606628,0.585424,0.000000
cga,CGA,2,2.000,replay,0.980291,0.009046,7,1.441732,0.000000,0.376095,1.103989,,,62.259510,112.606628,0.552894,0.000000
hda,HDA,2,2.000,replay,0.980291,0.009046,7,1.441732,0.000000,0.376095,1.103989,,,58.532673,112.606628,0.519798,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.975723,0.013064,7,1.468726,0.000000,0.370424,1.118101,,,66.535010,113.141644,0.588068,0.000000
cga,CGA,3,3.000,replay,0.975723,0.013064,7,1.468726,0.000000,0.370424,1.118101,,,59.265505,113.141644,0.523817,0.000000
hda,HDA,3,3.000,replay,0.975723,0.013064,7,1.468726,0.000000,0.370424,1.118101,,,55.266805,113.141644,0.488474,0.000000
kubernetes-default,K8s default,4,4.000,replay,1.013790,0.038584,7,1.494518,0.000000,0.365194,1.131497,,,66.852398,113.673243,0.588110,0.000000
