policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,66.603382,111.526316,0.597199,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,61.654079,111.526316,0.552821,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,53.075675,111.526316,0.475903,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.979490,0.000826,7,1.383511,0.000000,0.388873,1.073814,,,65.706934,111.526316,0.589161,0.000000
cga,CGA,1,1.000,replay,0.979490,0.000826,7,1.383511,0.000000,0.388873,1.073814,,,56.058657,111.526316,0.502650,0.000000
hda,HDA,1,1.000,replay,0.979490,0.000826,7,1.383511,0.000000,0.388873,1.073814,,,53.663335,111.526316,0.481172,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.980291,0.000817,7,1.383511,0.000000,0.388873,1.073814,,,64.722736,111.526316,0.580336,0.000000
cga,CGA,2,2.000,replay,0.980291,0.000817,7,1.383511,0.000000,0.388873,1.073814,,,61.131660,111.526316,0.548137,0.000000
hda,HDA,2,2.000,replay,0.980291,0.000817,7,1.383511,0.000000,0.388873,1.073814,,,57.452816,111.526316,0.515150,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.975723,0.004659,7,1.383511,0.000000,0.388873,1.073814,,,64.914873,111.526316,0.582059,0.000000
cga,CGA,3,3.000,replay,0.975723,0.004659,7,1.383511,0.000000,0.388873,1.073814,,,57.742577,111.526316,0.517748,0.000000
hda,HDA,3,3.000,replay,0.975723,0.004659,7,1.383511,0.000000,0.388873,1.073814,,,53.808682,111.526316,0.482475,0.000000
kubernetes-default,K8s default,4,4.000,replay,1.013790,0.037549,7,1.383511,0.000000,0.388873,1.073814,,,65.119356,111.526316,0.583892,0.000000
