step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
0,0.000,replay,0.000000,0.013445,0.013445,7,7,0
1,1.000,replay,0.000000,0.013997,0.013997,7,7,0
2,2.000,replay,0.000000,0.013466,0.013466,7,7,0
3,3.000,replay,0.000000,0.009269,0.009269,7,7,0
4,4.000,replay,0.000000,0.010069,0.010069,7,7,0
5,5.000,replay,0.000000,0.009137,0.009137,7,7,0
6,6.000,replay,0.000000,0.008866,0.008866,7,7,0
7,7.000,replay,0.000000,0.008966,0.008966,7,7,0
8,8.000,replay,0.000000,0.009106,0.009106,7,7,0
9,9.000,replay,0.000000,0.012714,0.012714,7,7,0
10,10.000,replay,0.000000,0.009168,0.009168,7,7,0
11,11.000,replay,0.000000,0.008726,0.008726,7,7,0
12,12.000,replay,0.000000,0.008727,0.008727,7,7,0
13,13.000,replay,0.000000,0.009878,0.009878,7,7,0
14,14.000,replay,0.000000,0.009057,0.009057,7,7,0
15,15.000,replay,0.000000,0.012574,0.012574,7,7,0
16,16.000,replay,0.000000,0.008847,0.008847,7,7,0
17,17.000,replay,0.000000,0.009148,0.009148,7,7,0
18,18.000,replay,0.000000,0.008506,0.008506,7,7,0
19,19.000,replay,0.000000,0.012153,0.012153,7,7,0
20,20.000,replay,0.000000,0.013757,0.013757,7,7,0
21,21.000,replay,0.000000,0.013816,0.013816,7,7,0
22,22.000,replay,0.000000,0.013506,0.013506,7,7,0
23,23.000,replay,0.000000,0.008907,0.008907,7,7,0
24,24.000,replay,0.000000,0.008857,0.008857,7,7,0
25,25.000,replay,0.000000,0.008747,0.008747,7,7,0
26,26.000,replay,0.000000,0.012293,0.012293,7,7,0
27,27.000,replay,0.000000,0.008857,0.008857,7,7,0
28,28.000,replay,0.000000,0.009028,0.009028,7,7,0
29,29.000,replay,0.000000,0.012213,0.012213,7,7,0
30,30.000,replay,0.000000,0.015178,0.015178,7,7,0
31,31.000,replay,0.000000,0.008766,0.008766,7,7,0
32,32.000,replay,0.000000,0.009156,0.009156,7,7,0
33,33.000,replay,0.000000,0.009598,0.009598,7,7,0
34,34.000,replay,0.000000,0.013887,0.013887,7,7,0
35,35.000,replay,0.000000,0.019997,0.019997,7,7,0
36,36.000,replay,0.000000,0.008315,0.008315,7,7,0
37,37.000,replay,0.000000,0.011392,0.011392,7,7,0
38,38.000,replay,0.000000,0.009629,0.009629,7,7,0
39,39.000,replay,0.000000,0.013145,0.013145,7,7,0
40,40.000,replay,0.000000,0.008887,0.008887,7,7,0
41,41.000,replay,0.000000,0.008596,0.008596,7,7,0
42,42.000,replay,0.000000,0.011361,0.011361,7,7,0
43,43.000,replay,0.000000,0.008517,0.008517,7,7,0
44,44.000,replay,0.000000,0.008255,0.008255,7,7,0
45,45.000,replay,0.000000,0.018374,0.018374,7,7,0
46,46.000,replay,0.000000,0.009257,0.009257,7,7,0
47,47.000,replay,0.000000,0.008527,0.008527,7,7,0
48,48.000,replay,0.000000,0.011581,0.011581,7,7,0
49,49.000,replay,0.000000,0.012153,0.012153,7,7,0
50,50.000,replay,0.000000,0.009317,0.009317,7,7,0
51,51.000,replay,0.000000,0.008456,0.008456,7,7,0
52,52.000,replay,0.000000,0.009968,0.009968,7,7,0
53,53.000,replay,0.000000,0.008917,0.008917,7,7,0
54,54.000,replay,0.000000,0.011953,0.011953,7,7,0
55,55.000,replay,0.000000,0.011511,0.011511,7,7,0
56,56.000,replay,0.000000,0.008667,0.008667,7,7,0
57,57.000,replay,0.000000,0.008927,0.008927,7,7,0
58,58.000,replay,0.000000,0.008596,0.008596,7,7,0
59,59.000,replay,0.000000,0.008826,0.008826,7,7,0
60,60.000,replay,0.000000,0.014887,0.014887,7,7,0
61,61.000,replay,0.000000,0.009658,0.009658,7,7,0
62,62.000,replay,0.000000,0.012154,0.012154,7,7,0
63,63.000,replay,0.000000,0.016511,0.016511,7,7,0
64,64.000,replay,0.000000,0.008787,0.008787,7,7,0
65,65.000,replay,0.000000,0.008285,0.008285,7,7,0
66,66.000,replay,0.000000,0.009107,0.009107,7,7,0
67,67.000,replay,0.000000,0.008597,0.008597,7,7,0
68,68.000,replay,0.000000,0.011772,0.011772,7,7,0
69,69.000,replay,0.000000,0.023715,0.023715,7,7,0
70,70.000,replay,0.000000,0.008315,0.008315,7,7,0
71,71.000,replay,0.000000,0.008076,0.008076,7,7,0
72,72.000,replay,0.000000,0.011823,0.011823,7,7,0
73,73.000,replay,0.000000,0.015429,0.015429,7,7,0
74,74.000,replay,0.000000,0.018955,0.018955,7,7,0
75,75.000,replay,0.000000,0.018866,0.018866,7,7,0
76,76.000,replay,0.000000,0.013244,0.013244,7,7,0
77,77.000,replay,0.000000,0.009429,0.009429,7,7,0
78,78.000,replay,0.000000,0.009027,0.009027,7,7,0
79,79.000,replay,0.000000,0.008595,0.008595,7,7,0
80,80.000,replay,0.000000,0.008666,0.008666,7,7,0
81,81.000,replay,0.000000,0.008837,0.008837,7,7,0
82,82.000,replay,0.000000,0.011772,0.011772,7,7,0
83,83.000,replay,0.000000,0.008406,0.008406,7,7,0
84,84.000,replay,0.000000,0.008125,0.008125,7,7,0
85,85.000,replay,0.000000,0.009569,0.009569,7,7,0
86,86.000,replay,0.000000,0.009127,0.009127,7,7,0
87,87.000,replay,0.000000,0.008846,0.008846,7,7,0
88,88.000,replay,0.000000,0.012042,0.012042,7,7,0
89,89.000,replay,0.000000,0.009358,0.009358,7,7,0
90,90.000,replay,0.000000,0.008737,0.008737,7,7,0
91,91.000,replay,0.000000,0.008766,0.008766,7,7,0
92,92.000,replay,0.000000,0.008857,0.008857,7,7,0
93,93.000,replay,0.000000,0.008746,0.008746,7,7,0
94,94.000,replay,0.000000,0.008776,0.008776,7,7,0
95,95.000,replay,0.000000,0.011952,0.011952,7,7,0
96,96.000,replay,0.000000,0.008386,0.008386,7,7,0
97,97.000,replay,0.000000,0.008456,0.008456,7,7,0
98,98.000,replay,0.000000,0.008576,0.008576,7,7,0
99,99.000,replay,0.000000,0.009217,0.009217,6,6,0
100,100.000,replay,0.000000,0.014877,0.014877,6,6,0
101,101.000,replay,0.000000,0.017403,0.017403,6,6,0
102,102.000,replay,0.000000,0.015921,0.015921,6,6,0
103,103.000,replay,0.000000,0.010249,0.010249,6,6,0
104,104.000,replay,0.000000,0.009588,0.009588,6,6,0
105,105.000,replay,0.000000,0.009027,0.009027,6,6,0
106,106.000,replay,0.000000,0.008806,0.008806,6,6,0
107,107.000,replay,0.000000,0.008406,0.008406,6,6,0
108,108.000,replay,0.000000,0.012102,0.012102,6,6,0
109,109.000,replay,0.000000,0.014017,0.014017,6,6,0
110,110.000,replay,0.000000,0.014237,0.014237,6,6,0
111,111.000,replay,0.000000,0.022823,0.022823,6,6,0
112,112.000,replay,0.000000,0.009728,0.009728,6,6,0
113,113.000,replay,0.000000,0.008566,0.008566,6,6,0
114,114.000,replay,0.000000,0.011962,0.011962,6,6,0
115,115.000,replay,0.000000,0.031631,0.031631,6,6,0
116,116.000,replay,0.000000,0.008125,0.008125,6,6,0
117,117.000,replay,0.000000,0.008807,0.008807,6,6,0
118,118.000,replay,0.000000,0.008756,0.008756,6,6,0
119,119.000,replay,0.000000,0.008587,0.008587,6,6,0
120,120.000,replay,0.000000,0.008255,0.008255,6,6,0
121,121.000,replay,0.000000,0.012663,0.012663,6,6,0
122,122.000,replay,0.000000,0.008366,0.008366,6,6,0
123,123.000,replay,0.000000,0.008916,0.008916,6,6,0
124,124.000,replay,0.000000,0.008345,0.008345,6,6,0
125,125.000,replay,0.000000,0.008206,0.008206,6,6,0
126,126.000,replay,0.000000,0.008315,0.008315,6,6,0
127,127.000,replay,0.000000,0.012393,0.012393,6,6,0
128,128.000,replay,0.000000,0.011200,0.011200,6,6,0
129,129.000,replay,0.000000,0.008646,0.008646,6,6,0
130,130.000,replay,0.000000,0.008595,0.008595,6,6,0
131,131.000,replay,0.000000,0.009368,0.009368,6,6,0
132,132.000,replay,0.000000,0.011893,0.011893,6,6,0
133,133.000,replay,0.000000,0.008736,0.008736,6,6,0
134,134.000,replay,0.000000,0.008305,0.008305,6,6,0
135,135.000,replay,0.000000,0.012524,0.012524,6,6,0
136,136.000,replay,0.000000,0.008396,0.008396,6,6,0
137,137.000,replay,0.000000,0.008557,0.008557,6,6,0
138,138.000,replay,0.000000,0.008518,0.008518,6,6,0
139,139.000,replay,0.000000,0.009748,0.009748,6,6,0
140,140.000,replay,0.000000,0.008646,0.008646,6,6,0
141,141.000,replay,0.000000,0.014657,0.014657,6,6,0
