step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.978681,0.000000,0.000000,1.000000,0.00000000,1.383511,0.000000,7,0.388873,1.073814,,,66.603382,111.526316,0.597199,0.000000
1,1.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.979490,0.000000,0.000826,1.000000,0.00082571,1.383511,0.000000,7,0.388873,1.073814,,,65.706934,111.526316,0.589161,0.000000
2,2.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.980291,0.000000,0.000817,1.000000,0.00081703,1.383511,0.000000,7,0.388873,1.073814,,,64.722736,111.526316,0.580336,0.000000
3,3.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.975723,0.000000,0.004659,1.000000,0.00465947,1.383511,0.000000,7,0.388873,1.073814,,,64.914873,111.526316,0.582059,0.000000
4,4.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,1.013790,0.000000,0.037549,1.000000,0.03754854,1.383511,0.000000,7,0.388873,1.073814,,,65.119356,111.526316,0.583892,0.000000
5,5.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.948373,0.000000,0.064527,1.000000,0.06452692,1.383511,0.000000,7,0.388873,1.073814,,,68.770996,111.526316,0.616635,0.000000
6,6.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.969039,0.000000,0.021326,1.000000,0.02132597,1.383511,0.000000,7,0.388873,1.073814,,,64.969204,111.526316,0.582546,0.000000
7,7.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,1.004349,0.000000,0.035157,1.000000,0.03515728,1.383511,0.000000,7,0.388873,1.073814,,,65.161984,111.526316,0.584275,0.000000
8,8.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,0.964369,0.000000,0.039807,1.000000,0.03980729,1.383511,0.000000,7,0.388873,1.073814,,,64.356753,111.526316,0.577054,0.000000
9,9.000,0.715789,0.031579,0.157895,0.031579,0.047368,0.015789,85.894737,3.789474,18.947368,3.789474,5.684211,1.894737,1.016672,0.000000,0.051446,1.000000,0.05144564,1.383511,0.000000,7,0.388873,1.073814,,,68.337515,111.526316,0.612748,0.000000
