run_id,metric,unit,dense-pairwise,sparse-aggregate,sources
gda-scalability-synth-large-clean-20260616T030405Z,latency_p50_ms,ms,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,latency_p95_ms,ms,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,latency_p99_ms,ms,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,throughput_rps,requests/s,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,sla_violations,count,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,sla_violation_rate,ratio,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,scheduler_decision_time_ms,ms,5.8534,30.536,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_cpu_ms
gda-scalability-synth-large-clean-20260616T030405Z,gda_build_time_ms,ms,5.8569,30.542,dense-pairwise:raw/gda_overhead_repetitions.csv#graph_build_wall_ms; sparse-aggregate:raw/gda_overhead_repetitions.csv#graph_build_wall_ms
gda-scalability-synth-large-clean-20260616T030405Z,ndm_injection_time_ms,ms,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,cpu_overhead_pct,percent,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,memory_overhead_mb,MiB,0.0002,2.3647,dense-pairwise:raw/gda_overhead_repetitions.csv#peak_python_memory_mib; sparse-aggregate:raw/gda_overhead_repetitions.csv#peak_python_memory_mib
gda-scalability-synth-large-clean-20260616T030405Z,migration_count,count,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,network_target_vs_measured_error,unitless,n/a,n/a,
gda-scalability-synth-large-clean-20260616T030405Z,placement_cost_reduction_pct,percent,n/a,n/a,
