mode,repetitions,graph_build_wall_p50_ms,graph_build_wall_p95_ms,graph_build_wall_p99_ms,graph_build_cpu_p50_ms,graph_build_cpu_p95_ms,graph_build_cpu_p99_ms,peak_python_memory_p50_mib,peak_python_memory_p95_mib,peak_python_memory_p99_mib,prometheus_query_latency_p50_ms,prometheus_query_latency_p95_ms,prometheus_query_latency_p99_ms,service_count,scenario,vertex_count,active_edges,replicas,scrape_interval_seconds,query_count,query_reduction_ratio_vs_dense,dense_pairwise_enabled,dense_comparison_status
dense-pairwise,7,0.225926,0.23343,0.23343,0.223709,0.227576,0.227576,0.000114,0.000961,0.000961,0.0,0.0,0.0,50,synthetic_control_plane,50,200,1,15.0,4900,1.0,True,measured
sparse-aggregate,7,1.169282,1.546242,1.546242,1.166236,1.543845,1.543845,0.115982,0.118752,0.118752,0.0,0.0,0.0,50,synthetic_control_plane,50,200,1,15.0,2,2450.0,True,available
dense-pairwise,7,0.840873,1.318653,1.318653,0.838513,1.314966,1.314966,0.000168,0.000168,0.000168,0.0,0.0,0.0,100,synthetic_control_plane,100,400,1,15.0,19800,1.0,True,measured
sparse-aggregate,7,2.593383,3.401566,3.401566,2.590157,3.39725,3.39725,0.240807,0.241075,0.241075,0.0,0.0,0.0,100,synthetic_control_plane,100,400,1,15.0,2,9900.0,True,available
dense-pairwise,7,5.856851,6.299062,6.299062,5.853406,6.295555,6.295555,0.000168,0.000168,0.000168,0.0,0.0,0.0,250,synthetic_control_plane,250,1000,1,15.0,124500,1.0,True,measured
sparse-aggregate,7,5.85709,16.474646,16.474646,5.853416,16.470864,16.470864,0.583237,0.587448,0.587448,0.0,0.0,0.0,250,synthetic_control_plane,250,1000,1,15.0,2,62250.0,True,available
dense-pairwise,7,20.751008,21.326443,21.326443,20.746983,21.32108,21.32108,0.000168,0.000168,0.000168,0.0,0.0,0.0,500,synthetic_control_plane,500,2000,1,15.0,499000,1.0,True,measured
sparse-aggregate,7,12.396044,15.708334,15.708334,12.391176,15.703726,15.703726,1.180305,1.194931,1.194931,0.0,0.0,0.0,500,synthetic_control_plane,500,2000,1,15.0,2,249500.0,True,available
dense-pairwise,7,98.072935,111.331494,111.331494,98.062608,111.320407,111.320407,0.000168,0.000168,0.000168,0.0,0.0,0.0,1000,synthetic_control_plane,1000,4000,1,15.0,1998000,1.0,True,measured
sparse-aggregate,7,30.541518,42.29983,42.29983,30.535527,42.291241,42.291241,2.364677,2.364731,2.364731,0.0,0.0,0.0,1000,synthetic_control_plane,1000,4000,1,15.0,2,999000.0,True,available
sparse-aggregate,7,170.568353,211.070748,211.070748,170.557362,211.060239,211.060239,12.08625,12.086433,12.086433,0.0,0.0,0.0,5000,synthetic_control_plane,5000,20000,1,15.0,2,24995000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,5000,synthetic_control_plane,5000,20000,1,15.0,49990000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,426.217924,472.4503,472.4503,426.197324,472.322703,472.322703,23.675209,23.679993,23.679993,0.0,0.0,0.0,10000,synthetic_control_plane,10000,40000,1,15.0,2,99990000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,10000,synthetic_control_plane,10000,40000,1,15.0,199980000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,873.778581,974.989686,974.989686,873.671223,974.834573,974.834573,48.353966,48.354202,48.354202,0.0,0.0,0.0,20000,synthetic_control_plane,20000,80000,1,15.0,2,399980000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,20000,synthetic_control_plane,20000,80000,1,15.0,799960000,1.0,True,skipped_above_1000_services
sparse-aggregate,7,2429.758361,2696.726879,2696.726879,2429.609747,2696.579041,2696.579041,121.038399,121.038635,121.038635,0.0,0.0,0.0,50000,synthetic_control_plane,50000,200000,1,15.0,2,2499950000.0,True,sparse_only
dense-pairwise,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,50000,synthetic_control_plane,50000,200000,1,15.0,4999900000,1.0,True,skipped_above_1000_services
