source,destination,rps
frontend,productcatalogservice,555.4380952380952
recommendationservice,productcatalogservice,93.12380952380951
frontend,recommendationservice,92.40952380952379
frontend,adservice,91.45714285714286
checkoutservice,currencyservice,0.9619047619047618
frontend,currencyservice,476.57142857142856
checkoutservice,shippingservice,0.6095238095238095
frontend,shippingservice,30.54285714285714
checkoutservice,cartservice,0.6095238095238095
frontend,cartservice,122.63809523809523
checkoutservice,productcatalogservice,0.5523809523809524
frontend,checkoutservice,0.2857142857142857
checkoutservice,emailservice,0.32380952380952377
checkoutservice,paymentservice,0.32380952380952377
loadgenerator,frontend,4.942857142857142
