run_id,metric,unit,run,sources
precheck-20260521T071100Z,latency_p50_ms,ms,n/a,
precheck-20260521T071100Z,latency_p95_ms,ms,n/a,
precheck-20260521T071100Z,latency_p99_ms,ms,n/a,
precheck-20260521T071100Z,throughput_rps,requests/s,n/a,
precheck-20260521T071100Z,sla_violations,count,n/a,
precheck-20260521T071100Z,sla_violation_rate,ratio,n/a,
precheck-20260521T071100Z,scheduler_decision_time_ms,ms,n/a,
precheck-20260521T071100Z,gda_build_time_ms,ms,n/a,
precheck-20260521T071100Z,ndm_injection_time_ms,ms,n/a,
precheck-20260521T071100Z,cpu_overhead_pct,percent,n/a,
precheck-20260521T071100Z,memory_overhead_mb,MiB,n/a,
precheck-20260521T071100Z,migration_count,count,n/a,
precheck-20260521T071100Z,network_target_vs_measured_error,unitless,n/a,
precheck-20260521T071100Z,placement_cost_reduction_pct,percent,n/a,
