## tsc-revision/codex-main...origin/tsc-revision/codex-main
 M AGENTS.md
?? .codex/
?? AGENTS.md.backup.20260521-055332
?? AGENTS.md.backup.20260521-055428
?? AGENTS.md.backup.20260521-060523
?? AGENTS.md.backup.20260521-060543
?? AGENTS.md.backup.20260521-065437
?? docs/CODEX_TSC_FULL_CONTROL_RUNBOOK.md
?? docs/CODEX_TSC_START_HERE.md
?? docs/experiment_plan_5node_10node.md
?? docs/paper_revision_plan.md
?? docs/tsc_reviewer_matrix.md
?? docs/tsc_revision_backlog.md
?? experiments/
?? prompts/
?? scripts/cluster/precheck.sh
?? scripts/lib/
