step,time_s,request_type,probability,qps,evidence_type
0,0.000,single_expert,0.111111,10.000000,replay
0,0.000,multi_expert_top2,0.162534,14.628071,replay
0,0.000,multi_expert_top4,0.189896,17.090616,replay
0,0.000,cache_hit,0.180393,16.235383,replay
0,0.000,cache_miss,0.138473,12.462545,replay
0,0.000,payload_small,0.083749,7.537455,replay
0,0.000,payload_large,0.041829,3.764617,replay
0,0.000,batch_small,0.032326,2.909384,replay
0,0.000,batch_large,0.059688,5.371929,replay
1,0.100,single_expert,0.113624,10.226157,replay
1,0.100,multi_expert_top2,0.164434,14.799034,replay
1,0.100,multi_expert_top4,0.190293,17.126389,replay
1,0.100,cache_hit,0.179103,16.119227,replay
1,0.100,cache_miss,0.136098,12.248811,replay
1,0.100,payload_small,0.081402,7.326152,replay
1,0.100,payload_large,0.040607,3.654615,replay
1,0.100,batch_small,0.032802,2.952155,replay
1,0.100,batch_large,0.061638,5.547460,replay
2,0.200,single_expert,0.116134,10.452092,replay
2,0.200,multi_expert_top2,0.166281,14.965261,replay
2,0.200,multi_expert_top4,0.190613,17.155129,replay
2,0.200,cache_hit,0.177745,15.997033,replay
2,0.200,cache_miss,0.133698,12.032858,replay
2,0.200,payload_small,0.079083,7.117487,replay
2,0.200,payload_large,0.039454,3.550875,replay
2,0.200,batch_small,0.033354,3.001881,replay
2,0.200,batch_large,0.063638,5.727384,replay
3,0.300,single_expert,0.118640,10.677580,replay
3,0.300,multi_expert_top2,0.168073,15.126588,replay
3,0.300,multi_expert_top4,0.190853,17.176808,replay
3,0.300,cache_hit,0.176321,15.868920,replay
3,0.300,cache_miss,0.131277,11.814899,replay
3,0.300,payload_small,0.076796,6.911667,replay
3,0.300,payload_large,0.038372,3.453500,replay
3,0.300,batch_small,0.033983,3.058513,replay
3,0.300,batch_large,0.065684,5.911525,replay
4,0.400,single_expert,0.121138,10.902399,replay
4,0.400,multi_expert_top2,0.169810,15.282855,replay
4,0.400,multi_expert_top4,0.191016,17.191404,replay
4,0.400,cache_hit,0.174834,15.735015,replay
4,0.400,cache_miss,0.128835,11.595149,replay
4,0.400,payload_small,0.074543,6.708895,replay
4,0.400,payload_large,0.037362,3.362585,replay
4,0.400,batch_small,0.034689,3.121996,replay
4,0.400,batch_large,0.067774,6.099701,replay
5,0.500,single_expert,0.123626,11.126328,replay
5,0.500,multi_expert_top2,0.171488,15.433909,replay
5,0.500,multi_expert_top4,0.191099,17.198903,replay
5,0.500,cache_hit,0.173283,15.595451,replay
5,0.500,cache_miss,0.126376,11.373825,replay
5,0.500,payload_small,0.072326,6.509371,replay
5,0.500,payload_large,0.036425,3.278221,replay
5,0.500,batch_small,0.035470,3.192266,replay
5,0.500,batch_large,0.069908,6.291726,replay
6,0.600,single_expert,0.126102,11.349145,replay
6,0.600,multi_expert_top2,0.173107,15.579600,replay
6,0.600,multi_expert_top4,0.191103,17.199298,replay
6,0.600,cache_hit,0.171671,15.450364,replay
6,0.600,cache_miss,0.123902,11.151145,replay
6,0.600,payload_small,0.070148,6.313291,replay
6,0.600,payload_large,0.035561,3.200490,replay
6,0.600,batch_small,0.036325,3.269255,replay
6,0.600,batch_large,0.072082,6.487410,replay
7,0.700,single_expert,0.128563,11.570631,replay
7,0.700,multi_expert_top2,0.174664,15.719785,replay
7,0.700,multi_expert_top4,0.191029,17.192588,replay
7,0.700,cache_hit,0.169999,15.299899,replay
7,0.700,cache_miss,0.121415,10.927328,replay
7,0.700,payload_small,0.068009,6.120850,replay
7,0.700,payload_large,0.034772,3.129470,replay
7,0.700,batch_small,0.037254,3.352886,replay
7,0.700,batch_large,0.074295,6.686562,replay
8,0.800,single_expert,0.131006,11.790567,replay
8,0.800,multi_expert_top2,0.176159,15.854325,replay
8,0.800,multi_expert_top4,0.190875,17.178780,replay
8,0.800,cache_hit,0.168269,15.144203,replay
8,0.800,cache_miss,0.118918,10.702597,replay
8,0.800,payload_small,0.065914,5.932238,replay
8,0.800,payload_large,0.034058,3.065230,replay
8,0.800,batch_small,0.038256,3.443078,replay
8,0.800,batch_large,0.076544,6.888983,replay
9,0.900,single_expert,0.133430,12.008736,replay
9,0.900,multi_expert_top2,0.177590,15.983088,replay
9,0.900,multi_expert_top4,0.190643,17.157887,replay
9,0.900,cache_hit,0.166483,14.983431,replay
9,0.900,cache_miss,0.116413,10.477172,replay
9,0.900,payload_small,0.063863,5.747639,replay
9,0.900,payload_large,0.033420,3.007833,replay
9,0.900,batch_small,0.039330,3.539740,replay
9,0.900,batch_large,0.078827,7.094474,replay
10,1.000,single_expert,0.135832,12.224922,replay
10,1.000,multi_expert_top2,0.178955,16.105946,replay
10,1.000,multi_expert_top4,0.190333,17.129930,replay
10,1.000,cache_hit,0.164642,14.817740,replay
10,1.000,cache_miss,0.113903,10.251276,replay
10,1.000,payload_small,0.061858,5.567237,replay
10,1.000,payload_large,0.032859,2.957337,replay
10,1.000,batch_small,0.040475,3.642777,replay
10,1.000,batch_large,0.081143,7.302833,replay
11,1.100,single_expert,0.138210,12.438913,replay
11,1.100,multi_expert_top2,0.180253,16.222779,replay
11,1.100,multi_expert_top4,0.189944,17.094937,replay
11,1.100,cache_hit,0.162748,14.647295,replay
11,1.100,cache_miss,0.111390,10.025133,replay
11,1.100,payload_small,0.059902,5.391210,replay
11,1.100,payload_large,0.032375,2.913792,replay
11,1.100,batch_small,0.041690,3.752089,replay
11,1.100,batch_large,0.083487,7.513853,replay
12,1.200,single_expert,0.140561,12.650497,replay
12,1.200,multi_expert_top2,0.181483,16.333470,replay
12,1.200,multi_expert_top4,0.189477,17.052942,replay
12,1.200,cache_hit,0.160803,14.472264,replay
12,1.200,cache_miss,0.108877,9.798964,replay
12,1.200,payload_small,0.057997,5.219731,replay
12,1.200,payload_large,0.031969,2.877239,replay
12,1.200,batch_small,0.042973,3.867566,replay
12,1.200,batch_large,0.085859,7.727327,replay
13,1.300,single_expert,0.142883,12.859465,replay
13,1.300,multi_expert_top2,0.182643,16.437911,replay
13,1.300,multi_expert_top4,0.188933,17.003986,replay
13,1.300,cache_hit,0.158809,14.292819,replay
13,1.300,cache_miss,0.106367,9.572994,replay
13,1.300,payload_small,0.056144,5.052970,replay
13,1.300,payload_large,0.031641,2.847716,replay
13,1.300,batch_small,0.044323,3.989095,replay
13,1.300,batch_large,0.088256,7.943044,replay
14,1.400,single_expert,0.145173,13.065611,replay
14,1.400,multi_expert_top2,0.183733,16.535998,replay
14,1.400,multi_expert_top4,0.188312,16.948119,replay
14,1.400,cache_hit,0.156768,14.109138,replay
14,1.400,cache_miss,0.103861,9.347445,replay
14,1.400,payload_small,0.054345,4.891091,replay
14,1.400,payload_large,0.031392,2.825251,replay
14,1.400,batch_small,0.045740,4.116557,replay
14,1.400,batch_large,0.090675,8.160791,replay
15,1.500,single_expert,0.147430,13.268732,replay
15,1.500,multi_expert_top2,0.184751,16.627635,replay
15,1.500,multi_expert_top4,0.187615,16.885394,replay
15,1.500,cache_hit,0.154682,13.921401,replay
15,1.500,cache_miss,0.101362,9.122541,replay
15,1.500,payload_small,0.052603,4.734253,replay
15,1.500,payload_large,0.031221,2.809867,replay
15,1.500,batch_small,0.047220,4.249824,replay
15,1.500,batch_large,0.093115,8.380352,replay
16,1.600,single_expert,0.149651,13.468626,replay
16,1.600,multi_expert_top2,0.185697,16.712731,replay
16,1.600,multi_expert_top4,0.186843,16.815875,replay
16,1.600,cache_hit,0.152553,13.729794,replay
16,1.600,cache_miss,0.098872,8.898502,replay
16,1.600,payload_small,0.050918,4.582613,replay
16,1.600,payload_large,0.031129,2.801579,replay
16,1.600,batch_small,0.048764,4.388767,replay
16,1.600,batch_large,0.095572,8.601513,replay
17,1.700,single_expert,0.151834,13.665098,replay
17,1.700,multi_expert_top2,0.186569,16.791203,replay
17,1.700,multi_expert_top4,0.185996,16.739629,replay
17,1.700,cache_hit,0.150383,13.534507,replay
17,1.700,cache_miss,0.096395,8.675550,replay
17,1.700,payload_small,0.049292,4.436318,replay
17,1.700,payload_large,0.031115,2.800395,replay
17,1.700,batch_small,0.050369,4.533247,replay
17,1.700,batch_large,0.098045,8.824053,replay
18,1.800,single_expert,0.153977,13.857953,replay
18,1.800,multi_expert_top2,0.187366,16.862973,replay
18,1.800,multi_expert_top4,0.185075,16.656731,replay
18,1.800,cache_hit,0.148175,13.335731,replay
18,1.800,cache_miss,0.093932,8.453906,replay
18,1.800,payload_small,0.047728,4.295515,replay
18,1.800,payload_large,0.031181,2.806316,replay
18,1.800,batch_small,0.052035,4.683122,replay
18,1.800,batch_large,0.100531,9.047754,replay
19,1.900,single_expert,0.156078,14.047000,replay
19,1.900,multi_expert_top2,0.188089,16.927970,replay
19,1.900,multi_expert_top4,0.184081,16.567265,replay
19,1.900,cache_hit,0.145930,13.133664,replay
19,1.900,cache_miss,0.091487,8.233787,replay
19,1.900,payload_small,0.046226,4.160341,replay
19,1.900,payload_large,0.031326,2.819336,replay
19,1.900,batch_small,0.053758,4.838244,replay
19,1.900,batch_large,0.103027,9.272395,replay
20,2.000,single_expert,0.158134,14.232054,replay
20,2.000,multi_expert_top2,0.188735,16.986129,replay
20,2.000,multi_expert_top4,0.183015,16.471317,replay
20,2.000,cache_hit,0.143650,12.928504,replay
20,2.000,cache_miss,0.089060,8.015411,replay
20,2.000,payload_small,0.044788,4.030929,replay
20,2.000,payload_large,0.031549,2.839442,replay
20,2.000,batch_small,0.055538,4.998460,replay
20,2.000,batch_large,0.105531,9.497753,replay
21,2.100,single_expert,0.160144,14.412931,replay
21,2.100,multi_expert_top2,0.189304,17.037394,replay
21,2.100,multi_expert_top4,0.181878,16.368983,replay
21,2.100,cache_hit,0.141338,12.720454,replay
21,2.100,cache_miss,0.086655,7.798994,replay
21,2.100,payload_small,0.043416,3.907409,replay
21,2.100,payload_large,0.031851,2.866616,replay
21,2.100,batch_small,0.057373,5.163612,replay
21,2.100,batch_large,0.108040,9.723608,replay
22,2.200,single_expert,0.162105,14.589453,replay
22,2.200,multi_expert_top2,0.189797,17.081715,replay
22,2.200,multi_expert_top4,0.180671,16.260363,replay
22,2.200,cache_hit,0.138997,12.509719,replay
22,2.200,cache_miss,0.084275,7.584749,replay
22,2.200,payload_small,0.042110,3.789902,replay
22,2.200,payload_large,0.032231,2.900829,replay
22,2.200,batch_small,0.059262,5.333537,replay
22,2.200,batch_large,0.110553,9.949735,replay
23,2.300,single_expert,0.164016,14.761445,replay
23,2.300,multi_expert_top2,0.190212,17.119046,replay
23,2.300,multi_expert_top4,0.179395,16.145566,replay
23,2.300,cache_hit,0.136628,12.296507,replay
23,2.300,cache_miss,0.081921,7.372887,replay
23,2.300,payload_small,0.040872,3.678523,replay
23,2.300,payload_large,0.032689,2.942048,replay
23,2.300,batch_small,0.061201,5.508067,replay
23,2.300,batch_large,0.113066,10.175912,replay
