step,time_s,evidence_type,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count
104,10.400,replay,0.000000,0.018144,0.018144,8,9,0
105,10.500,replay,0.000000,0.022392,0.022392,8,9,0
106,10.600,replay,0.000000,0.015128,0.015128,8,9,0
107,10.700,replay,0.000000,0.013805,0.013805,8,9,0
108,10.800,replay,0.000000,0.014136,0.014136,8,9,0
109,10.900,replay,0.000000,0.014467,0.014467,8,9,0
110,11.000,replay,0.000000,0.014046,0.014046,8,9,0
111,11.100,replay,0.000000,0.017132,0.017132,8,9,0
112,11.200,replay,0.000000,0.017704,0.017704,8,9,0
113,11.300,replay,0.000000,0.016791,0.016791,8,9,0
114,11.400,replay,0.000000,0.017874,0.017874,8,9,0
115,11.500,replay,0.000000,0.013556,0.013556,8,9,0
116,11.600,replay,0.000000,0.013676,0.013676,8,9,0
117,11.700,replay,0.000000,0.013655,0.013655,8,9,0
118,11.800,replay,0.000000,0.016771,0.016771,8,9,0
119,11.900,replay,0.000000,0.014066,0.014066,8,9,0
120,12.000,replay,0.000000,0.014146,0.014146,8,9,0
121,12.100,replay,0.000000,0.013426,0.013426,8,9,0
122,12.200,replay,0.000000,0.013325,0.013325,8,9,0
123,12.300,replay,0.000000,0.013395,0.013395,8,9,0
124,12.400,replay,0.000000,0.017011,0.017011,8,9,0
125,12.500,replay,0.000000,0.013104,0.013104,8,9,0
126,12.600,replay,0.000000,0.013925,0.013925,8,9,0
127,12.700,replay,0.000000,0.016622,0.016622,8,9,0
128,12.800,replay,0.000000,0.023192,0.023192,8,9,0
129,12.900,replay,0.000000,0.013326,0.013326,8,9,0
130,13.000,replay,0.000000,0.013837,0.013837,8,9,0
131,13.100,replay,0.000000,0.016981,0.016981,8,9,0
132,13.200,replay,0.000000,0.012894,0.012894,8,9,0
133,13.300,replay,0.000000,0.013796,0.013796,8,9,0
134,13.400,replay,0.000000,0.013545,0.013545,8,9,0
135,13.500,replay,0.000000,0.013284,0.013284,8,9,0
136,13.600,replay,0.000000,0.013847,0.013847,8,9,0
137,13.700,replay,0.000000,0.016852,0.016852,8,9,0
138,13.800,replay,0.000000,0.020348,0.020348,8,9,0
139,13.900,replay,0.000000,0.013355,0.013355,8,10,0
140,14.000,replay,0.000000,0.012955,0.012955,8,9,0
141,14.100,replay,0.000000,0.013495,0.013495,8,10,0
142,14.200,replay,0.000000,0.019157,0.019157,8,9,0
143,14.300,replay,0.000000,0.013836,0.013836,8,10,0
144,14.400,replay,0.000000,0.017133,0.017133,8,10,0
145,14.500,replay,0.000000,0.014337,0.014337,8,10,0
146,14.600,replay,0.000000,0.013696,0.013696,8,10,0
147,14.700,replay,0.000000,0.017152,0.017152,8,10,0
148,14.800,replay,0.000000,0.016982,0.016982,8,10,0
149,14.900,replay,0.000000,0.013576,0.013576,8,10,0
150,15.000,replay,0.000000,0.013817,0.013817,8,10,0
151,15.100,replay,0.000000,0.016962,0.016962,8,10,0
152,15.200,replay,0.000000,0.013084,0.013084,8,10,0
153,15.300,replay,0.000000,0.013475,0.013475,8,10,0
154,15.400,replay,0.000000,0.013717,0.013717,8,10,0
155,15.500,replay,0.000000,0.016531,0.016531,8,10,0
156,15.600,replay,0.000000,0.013967,0.013967,9,11,0
157,15.700,replay,0.000000,0.017653,0.017653,9,11,0
158,15.800,replay,0.000000,0.017142,0.017142,9,11,0
159,15.900,replay,0.000000,0.018264,0.018264,9,11,0
160,16.000,replay,0.000000,0.020768,0.020768,9,11,0
161,16.100,replay,0.000000,0.013635,0.013635,9,11,0
162,16.200,replay,0.000000,0.017142,0.017142,9,11,0
163,16.300,replay,0.000000,0.014797,0.014797,9,12,0
164,16.400,replay,0.000000,0.013966,0.013966,9,12,0
165,16.500,replay,0.000000,0.018084,0.018084,9,12,0
166,16.600,replay,0.000000,0.013566,0.013566,9,12,0
167,16.700,replay,0.000000,0.017053,0.017053,9,12,0
168,16.800,replay,0.000000,0.013896,0.013896,9,12,0
169,16.900,replay,0.000000,0.013596,0.013596,9,12,0
170,17.000,replay,0.000000,0.013835,0.013835,9,12,0
171,17.100,replay,0.000000,0.018075,0.018075,9,12,0
172,17.200,replay,0.000000,0.020829,0.020829,9,12,0
173,17.300,replay,0.000000,0.014568,0.014568,9,12,0
174,17.400,replay,0.000000,0.014186,0.014186,9,12,0
175,17.500,replay,0.000000,0.013838,0.013838,9,12,0
176,17.600,replay,0.000000,0.013585,0.013585,9,12,0
177,17.700,replay,0.000000,0.013996,0.013996,9,12,0
178,17.800,replay,0.000000,0.013415,0.013415,9,12,0
179,17.900,replay,0.000000,0.016932,0.016932,9,12,0
180,18.000,replay,0.000000,0.013655,0.013655,9,12,0
181,18.100,replay,0.000000,0.014738,0.014738,9,12,0
182,18.200,replay,0.000000,0.014317,0.014317,9,12,0
183,18.300,replay,0.000000,0.013475,0.013475,9,12,0
184,18.400,replay,0.000000,0.017242,0.017242,9,12,0
185,18.500,replay,0.000000,0.017773,0.017773,9,12,0
