step,time_s,source,destination,weight
0,0.0,aggregator,cache,5.967994
0,0.0,cache,aggregator,11.015864
0,0.0,expert-0,aggregator,53.169415
0,0.0,expert-1,aggregator,38.959652
0,0.0,expert-2,aggregator,15.146564
0,0.0,expert-3,aggregator,9.939555
0,0.0,frontend,router,79.523624
0,0.0,frontend,tokenizer,57.288638
0,0.0,router,cache,21.776918
0,0.0,router,expert-0,59.813110
0,0.0,router,expert-1,44.127742
0,0.0,router,expert-2,17.323857
0,0.0,router,expert-3,11.596148
1,0.1,aggregator,cache,6.067061
1,0.1,cache,aggregator,10.942164
1,0.1,expert-0,aggregator,53.377399
1,0.1,expert-1,aggregator,39.039104
1,0.1,expert-2,aggregator,15.344680
1,0.1,expert-3,aggregator,9.965017
1,0.1,frontend,router,79.728618
1,0.1,frontend,tokenizer,57.457107
1,0.1,router,cache,21.570822
1,0.1,router,expert-0,60.043636
1,0.1,router,expert-1,44.215286
1,0.1,router,expert-2,17.543483
1,0.1,router,expert-3,11.625853
2,0.2,aggregator,cache,6.134029
2,0.2,cache,aggregator,10.809684
2,0.2,expert-0,aggregator,53.323327
2,0.2,expert-1,aggregator,38.923656
2,0.2,expert-2,aggregator,15.465021
2,0.2,expert-3,aggregator,9.936210
2,0.2,frontend,router,79.537516
2,0.2,frontend,tokenizer,57.341071
2,0.2,router,cache,21.250241
2,0.2,router,expert-0,59.978625
2,0.2,router,expert-1,44.081556
2,0.2,router,expert-2,17.673937
2,0.2,router,expert-3,11.592244
3,0.30000000000000004,aggregator,cache,6.472749
3,0.30000000000000004,cache,aggregator,11.145622
3,0.30000000000000004,expert-0,aggregator,55.628404
3,0.30000000000000004,expert-1,aggregator,40.524061
3,0.30000000000000004,expert-2,aggregator,16.272180
3,0.30000000000000004,expert-3,aggregator,10.340764
3,0.30000000000000004,frontend,router,82.856337
3,0.30000000000000004,frontend,tokenizer,59.757250
3,0.30000000000000004,router,cache,21.849645
3,0.30000000000000004,router,expert-0,62.566270
3,0.30000000000000004,router,expert-1,45.890389
3,0.30000000000000004,router,expert-2,18.588782
3,0.30000000000000004,router,expert-3,12.064224
4,0.4,aggregator,cache,6.375904
4,0.4,cache,aggregator,10.727788
4,0.4,expert-0,aggregator,54.203478
4,0.4,expert-1,aggregator,39.403144
4,0.4,expert-2,aggregator,15.987251
4,0.4,expert-3,aggregator,10.046333
4,0.4,frontend,router,80.613547
4,0.4,frontend,tokenizer,58.163505
4,0.4,router,cache,20.972067
4,0.4,router,expert-0,60.957906
