policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,78.844257,132.125240,0.596739,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,78.227936,132.125240,0.592074,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,73.181048,132.125240,0.553876,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,74.480677,132.125240,0.563713,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,13,2.968011,0.000000,0.390394,0.537493,,,70.162876,132.125240,0.531033,0.000000
kubernetes-default,K8s default,1,0.100,replay,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,83.487607,132.245730,0.631307,0.000000
cga,CGA,1,0.100,replay,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,75.427408,132.245730,0.570358,0.000000
hda,HDA,1,0.100,replay,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,74.045069,132.245730,0.559905,0.000000
policy2,Policy 2,1,0.100,replay,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,74.055162,132.245730,0.559981,0.000000
policy3,Policy 3,1,0.100,replay,0.969753,0.004285,13,2.968015,0.000000,0.390242,0.538565,,,72.972376,132.245730,0.551794,0.000000
kubernetes-default,K8s default,2,0.200,replay,0.965329,0.003531,13,2.968018,0.000000,0.390146,0.539485,,,81.451734,132.373325,0.615318,0.000000
cga,CGA,2,0.200,replay,0.965329,0.003531,13,2.968018,0.000000,0.390146,0.539485,,,75.509714,132.373325,0.570430,0.000000
hda,HDA,2,0.200,replay,0.965329,0.003531,13,2.968018,0.000000,0.390146,0.539485,,,77.578561,132.373325,0.586059,0.000000
policy2,Policy 2,2,0.200,replay,0.965329,0.003531,13,2.968018,0.000000,0.390146,0.539485,,,72.497658,132.373325,0.547676,0.000000
policy3,Policy 3,2,0.200,replay,0.965329,0.003531,13,2.968018,0.000000,0.390146,0.539485,,,72.326744,132.373325,0.546385,0.000000
kubernetes-default,K8s default,3,0.300,replay,1.003365,0.040341,13,2.968021,0.000000,0.390107,0.540250,,,82.319744,132.507898,0.621244,0.000000
cga,CGA,3,0.300,replay,1.003365,0.040341,13,2.968021,0.000000,0.390107,0.540250,,,76.523659,132.507898,0.577503,0.000000
hda,HDA,3,0.300,replay,1.003365,0.040341,13,2.968021,0.000000,0.390107,0.540250,,,74.781207,132.507898,0.564353,0.000000
policy2,Policy 2,3,0.300,replay,1.003365,0.040341,13,2.968021,0.000000,0.390107,0.540250,,,79.187179,132.507898,0.597603,0.000000
policy3,Policy 3,3,0.300,replay,1.003365,0.040341,13,2.968021,0.000000,0.390107,0.540250,,,73.757128,132.507898,0.556624,0.000000
kubernetes-default,K8s default,4,0.400,replay,0.973969,0.026832,13,2.968023,0.000000,0.390124,0.540856,,,79.735685,132.649317,0.601101,0.000000
cga,CGA,4,0.400,replay,0.973969,0.026832,13,2.968023,0.000000,0.390124,0.540856,,,73.691998,132.649317,0.555540,0.000000
hda,HDA,4,0.400,replay,0.973969,0.026832,13,2.968023,0.000000,0.390124,0.540856,,,67.993977,132.649317,0.512584,0.000000
policy2,Policy 2,4,0.400,replay,0.973969,0.026832,13,2.968023,0.000000,0.390124,0.540856,,,76.740826,132.649317,0.578524,0.000000
