step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.111111,0.162534,0.189896,0.180393,0.138473,0.083749,0.041829,0.032326,0.059688,10.000000,14.628071,17.090616,16.235383,12.462545,7.537455,3.764617,2.909384,5.371929,0.969300,0.000000,0.000000,1.000000,0.00000000,2.968011,0.000000,13,0.390394,0.537493,,,78.844257,132.125240,0.596739,0.000000
1,0.100,0.113624,0.164434,0.190293,0.179103,0.136098,0.081402,0.040607,0.032802,0.061638,10.226157,14.799034,17.126389,16.119227,12.248811,7.326152,3.654615,2.952155,5.547460,0.969753,0.000000,0.004285,1.000000,0.04285440,2.968015,0.000000,13,0.390242,0.538565,,,83.487607,132.245730,0.631307,0.000000
2,0.200,0.116134,0.166281,0.190613,0.177745,0.133698,0.079083,0.039454,0.033354,0.063638,10.452092,14.965261,17.155129,15.997033,12.032858,7.117487,3.550875,3.001881,5.727384,0.965329,0.000000,0.003531,1.000000,0.03531149,2.968018,0.000000,13,0.390146,0.539485,,,81.451734,132.373325,0.615318,0.000000
3,0.300,0.118640,0.168073,0.190853,0.176321,0.131277,0.076796,0.038372,0.033983,0.065684,10.677580,15.126588,17.176808,15.868920,11.814899,6.911667,3.453500,3.058513,5.911525,1.003365,0.000000,0.040341,1.000000,0.40340784,2.968021,0.000000,13,0.390107,0.540250,,,82.319744,132.507898,0.621244,0.000000
4,0.400,0.121138,0.169810,0.191016,0.174834,0.128835,0.074543,0.037362,0.034689,0.067774,10.902399,15.282855,17.191404,15.735015,11.595149,6.708895,3.362585,3.121996,6.099701,0.973969,0.000000,0.026832,1.000000,0.26832205,2.968023,0.000000,13,0.390124,0.540856,,,79.735685,132.649317,0.601101,0.000000
5,0.500,0.123626,0.171488,0.191099,0.173283,0.126376,0.072326,0.036425,0.035470,0.069908,11.126328,15.433909,17.198903,15.595451,11.373825,6.509371,3.278221,3.192266,6.291726,0.950293,0.000000,0.021828,1.000000,0.21828342,2.968024,0.000000,13,0.390197,0.541297,,,83.732712,132.797442,0.630530,0.000000
6,0.600,0.126102,0.173107,0.191103,0.171671,0.123902,0.070148,0.035561,0.036325,0.072082,11.349145,15.579600,17.199298,15.450364,11.151145,6.313291,3.200490,3.269255,6.487410,1.004494,0.000000,0.056357,1.000000,0.56357364,2.968024,0.000000,13,0.390325,0.541572,,,84.588475,132.952127,0.636233,0.000000
7,0.700,0.128563,0.174664,0.191029,0.169999,0.121415,0.068009,0.034772,0.037254,0.074295,11.570631,15.719785,17.192588,15.299899,10.927328,6.120850,3.129470,3.352886,6.686562,0.949689,0.000000,0.052159,1.000000,0.52159105,2.968023,0.000000,13,0.390507,0.541680,,,86.116873,133.113218,0.646945,0.000000
8,0.800,0.131006,0.176159,0.190875,0.168269,0.118918,0.065914,0.034058,0.038256,0.076544,11.790567,15.854325,17.178780,15.144203,10.702597,5.932238,3.065230,3.443078,6.888983,1.048635,0.000000,0.096645,1.000000,0.96645488,2.968021,0.000000,13,0.390744,0.541618,,,86.856205,133.280558,0.651679,0.000000
9,0.900,0.133430,0.177590,0.190643,0.166483,0.116413,0.063863,0.033420,0.039330,0.078827,12.008736,15.983088,17.157887,14.983431,10.477172,5.747639,3.007833,3.539740,7.094474,1.023562,0.000000,0.021444,1.000000,0.21444300,2.968019,0.000000,13,0.391034,0.541387,,,83.120438,133.453981,0.622840,0.000000
10,1.000,0.135832,0.178955,0.190333,0.164642,0.113903,0.061858,0.032859,0.040475,0.081143,12.224922,16.105946,17.129930,14.817740,10.251276,5.567237,2.957337,3.642777,7.302833,0.962021,0.000000,0.057760,0.994505,0.57759960,2.968015,0.000000,13,0.391404,0.540986,,,87.021010,133.633316,0.651192,0.000000
11,1.100,0.138210,0.180253,0.189944,0.162748,0.111390,0.059902,0.032375,0.041690,0.083487,12.438913,16.222779,17.094937,14.647295,10.025133,5.391210,2.913792,3.752089,7.513853,0.979831,0.000000,0.020629,0.994505,0.20628752,2.968012,0.000000,13,0.391967,0.540419,,,83.945550,133.818385,0.627310,0.000000
12,1.200,0.140561,0.181483,0.189477,0.160803,0.108877,0.057997,0.031969,0.042973,0.085859,12.650497,16.333470,17.052942,14.472264,9.798964,5.219731,2.877239,3.867566,7.727327,1.060473,0.000000,0.078337,1.000000,0.78336701,2.968008,0.000000,13,0.392613,0.539687,,,91.966985,134.009007,0.686275,0.000000
13,1.300,0.142883,0.182643,0.188933,0.158809,0.106367,0.056144,0.031641,0.044323,0.088256,12.859465,16.437911,17.003986,14.292819,9.572994,5.052970,2.847716,3.989095,7.943044,1.045542,0.000000,0.011644,1.000000,0.11643650,2.968004,0.000000,13,0.393308,0.538792,,,79.807874,134.204993,0.594671,0.000000
14,1.400,0.145173,0.183733,0.188312,0.156768,0.103861,0.054345,0.031392,0.045740,0.090675,13.065611,16.535998,16.948119,14.109138,9.347445,4.891091,2.825251,4.116557,8.160791,1.031876,0.000000,0.010652,1.000000,0.10652363,2.968002,0.000000,13,0.394053,0.537739,,,82.265156,134.406150,0.612064,0.000000
15,1.500,0.147430,0.184751,0.187615,0.154682,0.101362,0.052603,0.031221,0.047220,0.093115,13.268732,16.627635,16.885394,13.921401,9.122541,4.734253,2.809867,4.249824,8.380352,1.013258,0.000000,0.015657,0.994505,0.15656864,2.967999,0.000000,13,0.394854,0.536531,,,80.476648,134.612279,0.597840,0.000000
