step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.111111,0.162534,0.189896,0.180393,0.138473,0.083749,0.041829,0.032326,0.059688,10.000000,14.628071,17.090616,16.235383,12.462545,7.537455,3.764617,2.909384,5.371929,0.969300,0.000000,0.000000,1.000000,0.00000000,2.968011,0.000000,13,0.390394,0.537493,,,78.844257,132.125240,0.596739,0.000000
1,0.100,0.112116,0.163300,0.190064,0.179885,0.137526,0.082807,0.041332,0.032507,0.060462,10.090475,14.697014,17.105767,16.189653,12.377331,7.452630,3.719872,2.925655,5.441603,0.966640,0.000000,0.002180,1.000000,0.02180134,2.968013,0.000000,13,0.390326,0.537940,,,83.252198,132.172576,0.629875,0.000000
2,0.200,0.113122,0.164058,0.190220,0.179366,0.136575,0.081869,0.040846,0.032700,0.061244,10.180937,14.765215,17.119796,16.142945,12.291742,7.368208,3.676118,2.943043,5.511996,0.959227,0.000000,0.006670,1.000000,0.06669936,2.968014,0.000000,13,0.390268,0.538362,,,81.303648,132.221060,0.614907,0.000000
3,0.300,0.114126,0.164807,0.190363,0.178836,0.135620,0.080936,0.040371,0.032906,0.062034,10.271369,14.832663,17.132701,16.095268,12.205792,7.284201,3.633363,2.961545,5.583099,0.994400,0.000000,0.036343,1.000000,0.36342573,2.968015,0.000000,13,0.390218,0.538761,,,81.711450,132.270685,0.617759,0.000000
4,0.400,0.115131,0.165548,0.190494,0.178296,0.134661,0.080007,0.039907,0.033124,0.062832,10.361759,14.899349,17.144479,16.046628,12.119492,7.200623,3.591613,2.981159,5.654898,0.962272,0.000000,0.031331,1.000000,0.31331193,2.968017,0.000000,13,0.390178,0.539136,,,79.358312,132.321443,0.599739,0.000000
5,0.500,0.116134,0.166281,0.190613,0.177745,0.133698,0.079083,0.039454,0.033354,0.063638,10.452092,14.965261,17.155129,15.997033,12.032858,7.117487,3.550875,3.001881,5.727384,0.936001,0.000000,0.026318,1.000000,0.26317669,2.968018,0.000000,13,0.390146,0.539485,,,83.212606,132.373325,0.628621,0.000000
6,0.600,0.117137,0.167004,0.190718,0.177183,0.132732,0.078165,0.039013,0.033597,0.064450,10.542353,15.030388,17.164649,15.946491,11.945904,7.034806,3.511156,3.023708,5.800545,0.987747,0.000000,0.053346,1.000000,0.53346299,2.968019,0.000000,13,0.390124,0.539810,,,83.587356,132.426324,0.631199,0.000000
7,0.700,0.118139,0.167719,0.190812,0.176611,0.131763,0.077251,0.038583,0.033852,0.065271,10.632529,15.094722,17.173038,15.895010,11.858641,6.952594,3.472461,3.046637,5.874368,0.930631,0.000000,0.056870,1.000000,0.56869620,2.968020,0.000000,13,0.390111,0.540110,,,85.318883,132.480432,0.644011,0.000000
8,0.800,0.119140,0.168425,0.190892,0.176029,0.130790,0.076343,0.038164,0.034118,0.066098,10.722604,15.158251,17.180294,15.842598,11.771086,6.870862,3.434797,3.070664,5.948843,1.027413,0.000000,0.095118,1.000000,0.95118068,2.968021,0.000000,13,0.390106,0.540384,,,85.622276,132.535639,0.646032,0.000000
9,0.900,0.120140,0.169122,0.190960,0.175436,0.129814,0.075440,0.037757,0.034398,0.066933,10.812566,15.220965,17.186417,15.789264,11.683250,6.789625,3.398170,3.095785,6.023958,1.000329,0.000000,0.025373,1.000000,0.25373062,2.968022,0.000000,13,0.390111,0.540633,,,81.986653,132.591937,0.618338,0.000000
