step,time_s,p_index,p_setCurrency,p_browseProduct,p_addToCart,p_viewCart,p_checkout,qps_index,qps_setCurrency,qps_browseProduct,qps_addToCart,qps_viewCart,qps_checkout,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.041687,0.135361,0.676804,0.083374,0.047081,0.015694,5.002437,16.243297,81.216486,10.004875,5.649678,1.883226,0.978681,0.000000,0.000000,1.000000,0.00000000,1.563267,0.000000,7,0.307166,0.178480,,,88.053462,135.890114,0.647975,0.000000
1,1.000,0.041923,0.135702,0.676624,0.083091,0.046853,0.015806,5.030781,16.284297,81.194925,9.970937,5.622302,1.896757,0.975329,0.000000,0.003838,1.000000,0.00383781,1.563887,0.000000,7,0.307462,0.176799,,,87.143500,135.878890,0.641332,0.000000
2,2.000,0.042160,0.136044,0.676440,0.082808,0.046627,0.015920,5.059229,16.325276,81.172750,9.937006,5.595281,1.910457,0.972109,0.000000,0.003718,1.000000,0.00371788,1.564522,0.000000,7,0.307755,0.175129,,,86.013139,135.867720,0.633065,0.000000
3,3.000,0.042398,0.136385,0.676250,0.082526,0.046405,0.016036,5.087783,16.366234,81.149959,9.903080,5.568617,1.924327,0.963664,0.000000,0.009104,1.000000,0.00910377,1.565172,0.000000,7,0.308046,0.173472,,,86.090241,135.856604,0.633685,0.000000
4,4.000,0.042637,0.136726,0.676055,0.082243,0.046186,0.016153,5.116441,16.407170,81.126549,9.869162,5.542311,1.938367,0.998002,0.000000,0.033998,1.000000,0.03399802,1.565837,0.000000,7,0.308333,0.171827,,,86.135910,135.845543,0.634072,0.000000
5,5.000,0.042877,0.137067,0.675854,0.081960,0.045970,0.016271,5.145204,16.448082,81.102519,9.835251,5.516365,1.952578,0.929011,0.000000,0.069526,1.000000,0.06952614,1.566517,0.000000,7,0.308617,0.170195,,,89.462422,135.834537,0.658613,0.000000
6,6.000,0.043117,0.137408,0.675649,0.081678,0.045757,0.016391,5.174072,16.488971,81.077868,9.801348,5.490781,1.966959,0.946261,0.000000,0.017807,1.000000,0.01780740,1.567212,0.000000,7,0.308898,0.168575,,,85.338308,135.823587,0.628303,0.000000
7,7.000,0.043359,0.137749,0.675438,0.081395,0.045546,0.016513,5.203044,16.529836,81.052593,9.767454,5.465560,1.981512,0.978317,0.000000,0.032349,1.000000,0.03234861,1.567923,0.000000,7,0.309176,0.166968,,,85.747420,135.812692,0.631365,0.000000
8,8.000,0.043601,0.138089,0.675222,0.081113,0.045339,0.016635,5.232122,16.570676,81.026693,9.733569,5.440704,1.996237,0.935251,0.000000,0.044438,1.000000,0.04443808,1.568649,0.000000,7,0.309450,0.165373,,,84.806714,135.801854,0.624489,0.000000
9,9.000,0.043844,0.138429,0.675001,0.080831,0.045135,0.016759,5.261303,16.611490,81.000165,9.699693,5.416215,2.011133,0.984638,0.000000,0.049741,1.000000,0.04974102,1.569390,0.000000,7,0.309722,0.163791,,,88.852680,135.791072,0.654334,0.000000
10,10.000,0.044088,0.138769,0.674775,0.080549,0.044934,0.016885,5.290589,16.652277,80.973008,9.665828,5.392095,2.026203,0.958129,0.000000,0.027354,1.000000,0.02735369,1.570147,0.000000,7,0.309991,0.162222,,,85.039911,135.780347,0.626305,0.000000
11,11.000,0.044333,0.139109,0.674544,0.080266,0.044736,0.017012,5.319980,16.693037,80.945221,9.631974,5.368344,2.041445,1.006945,0.000000,0.048056,1.000000,0.04805572,1.570919,0.000000,7,0.310256,0.160665,,,88.689527,135.769680,0.653235,0.000000
12,12.000,0.044579,0.139448,0.674307,0.079984,0.044541,0.017140,5.349474,16.733769,80.916800,9.598131,5.344966,2.056860,0.951181,0.000000,0.055803,1.000000,0.05580320,1.571707,0.000000,7,0.310519,0.159121,,,90.833595,135.759070,0.669079,0.000000
13,13.000,0.044826,0.139787,0.674065,0.079702,0.044350,0.017270,5.379073,16.774472,80.887744,9.564300,5.321961,2.072449,1.008732,0.000000,0.056627,1.000000,0.05662681,1.572511,0.000000,7,0.310778,0.157589,,,89.825677,135.748518,0.661707,0.000000
14,14.000,0.045073,0.140126,0.673817,0.079421,0.044161,0.017402,5.408776,16.815146,80.858052,9.530481,5.299332,2.088212,1.019276,0.000000,0.009894,1.000000,0.00989438,1.573331,0.000000,7,0.311034,0.156071,,,86.540702,135.738025,0.637557,0.000000
