benchmark,run_id,namespace,scale,replica_level,replica_config,workload_mode,repeat,policy,policy_display_name,step,time_s,evidence_type,request_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,gda_query_latency_ms,gda_build_time_ms,gda_total_time_ms,gda_nodes,gda_edges,gda_query_count,latency_ms,p50_ms,p95_ms,p99_ms,throughput_rps,error_rate,sla_ms,sla_pressure,sla_violation_ratio,worker_nodes_selected,actual_app_pods,ready_app_pods,non_empty_worker_nodes,pod_node_occupancy_ratio,pod_restarts,total_pods,cluster_cpu_utilization,cluster_memory_utilization,top_node_cpu_utilization
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,0,0.000,replay,mixed,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,0.000000,0.024135,0.024135,7,7,0,88.053462,88.053462,88.053462,88.053462,120.000000,0.000000,135.890114,0.647975,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,0,0.000,replay,mixed,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,0.000000,0.024135,0.024135,7,7,0,81.817154,81.817154,81.817154,81.817154,120.000000,0.000000,135.890114,0.602083,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,0,0.000,replay,mixed,0.978681,0.000000,7,1.563267,0.000000,0.307166,0.178480,,,0.000000,0.024135,0.024135,7,7,0,72.380747,72.380747,72.380747,72.380747,120.000000,0.000000,135.890114,0.532642,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,1,1.000,replay,mixed,0.975329,0.003838,7,1.563887,0.000000,0.307462,0.176799,,,0.000000,0.010189,0.010189,7,7,0,87.143500,87.143500,87.143500,87.143500,120.000000,0.000000,135.878890,0.641332,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,1,1.000,replay,mixed,0.975329,0.003838,7,1.563887,0.000000,0.307462,0.176799,,,0.000000,0.010189,0.010189,7,7,0,76.209028,76.209028,76.209028,76.209028,120.000000,0.000000,135.878890,0.560860,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,1,1.000,replay,mixed,0.975329,0.003838,7,1.563887,0.000000,0.307462,0.176799,,,0.000000,0.010189,0.010189,7,7,0,72.956244,72.956244,72.956244,72.956244,120.000000,0.000000,135.878890,0.536921,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,2,2.000,replay,mixed,0.972109,0.003718,7,1.564522,0.000000,0.307755,0.175129,,,0.000000,0.009819,0.009819,7,7,0,86.013139,86.013139,86.013139,86.013139,120.000000,0.000000,135.867720,0.633065,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,2,2.000,replay,mixed,0.972109,0.003718,7,1.564522,0.000000,0.307755,0.175129,,,0.000000,0.009819,0.009819,7,7,0,81.144639,81.144639,81.144639,81.144639,120.000000,0.000000,135.867720,0.597233,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,2,2.000,replay,mixed,0.972109,0.003718,7,1.564522,0.000000,0.307755,0.175129,,,0.000000,0.009819,0.009819,7,7,0,76.614179,76.614179,76.614179,76.614179,120.000000,0.000000,135.867720,0.563888,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,3,3.000,replay,mixed,0.963664,0.009104,7,1.565172,0.000000,0.308046,0.173472,,,0.000000,0.014547,0.014547,7,7,0,86.090241,86.090241,86.090241,86.090241,120.000000,0.000000,135.856604,0.633685,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,3,3.000,replay,mixed,0.963664,0.009104,7,1.565172,0.000000,0.308046,0.173472,,,0.000000,0.014547,0.014547,7,7,0,77.647423,77.647423,77.647423,77.647423,120.000000,0.000000,135.856604,0.571540,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,3,3.000,replay,mixed,0.963664,0.009104,7,1.565172,0.000000,0.308046,0.173472,,,0.000000,0.014547,0.014547,7,7,0,72.866514,72.866514,72.866514,72.866514,120.000000,0.000000,135.856604,0.536349,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,4,4.000,replay,mixed,0.998002,0.033998,7,1.565837,0.000000,0.308333,0.171827,,,0.000000,0.008967,0.008967,7,7,0,86.135910,86.135910,86.135910,86.135910,120.000000,0.000000,135.845543,0.634072,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,4,4.000,replay,mixed,0.998002,0.033998,7,1.565837,0.000000,0.308333,0.171827,,,0.000000,0.008967,0.008967,7,7,0,83.018400,83.018400,83.018400,83.018400,120.000000,0.000000,135.845543,0.611123,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,4,4.000,replay,mixed,0.998002,0.033998,7,1.565837,0.000000,0.308333,0.171827,,,0.000000,0.008967,0.008967,7,7,0,77.357780,77.357780,77.357780,77.357780,120.000000,0.000000,135.845543,0.569454,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,kubernetes-default,K8s default,5,5.000,replay,mixed,0.929011,0.069526,7,1.566517,0.000000,0.308617,0.170195,,,0.000000,0.008676,0.008676,7,7,0,89.462422,89.462422,89.462422,89.462422,120.000000,0.000000,135.834537,0.658613,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,cga,CGA,5,5.000,replay,mixed,0.929011,0.069526,7,1.566517,0.000000,0.308617,0.170195,,,0.000000,0.008676,0.008676,7,7,0,86.726656,86.726656,86.726656,86.726656,120.000000,0.000000,135.834537,0.638473,0.000000,45,,,,,,,,,
online-boutique,online-boutique-longmix-stageD-scale45-replica5-sinusoidal-steps1000-20260612T140744Z,idyn-ob-scale45-replica5,scale45,replica5,adservice=5;cartservice=5;checkoutservice=5;currencyservice=5;emailservice=5;frontend=5;paymentservice=5;productcatalogservice=5;recommendationservice=5;redis-cart=1;shippingservice=5,sinusoidal,stageD,hda,HDA,5,5.000,replay,mixed,0.929011,0.069526,7,1.566517,0.000000,0.308617,0.170195,,,0.000000,0.008676,0.008676,7,7,0,77.845936,77.845936,77.845936,77.845936,120.000000,0.000000,135.834537,0.573094,0.000000,45,,,,,,,,,
