mode,step,p_read_home,p_compose_post,p_read_user
step,0,0.7,0.15,0.15
step,1,0.7,0.15,0.15
step,2,0.7,0.15,0.15
step,3,0.7,0.15,0.15
step,4,0.7,0.15,0.15
step,5,0.7,0.15,0.15
step,6,0.7,0.15,0.15
step,7,0.7,0.15,0.15
step,8,0.7,0.15,0.15
step,9,0.7,0.15,0.15
step,10,0.7,0.15,0.15
step,11,0.7,0.15,0.15
step,12,0.7,0.15,0.15
step,13,0.7,0.15,0.15
step,14,0.7,0.15,0.15
step,15,0.7,0.15,0.15
step,16,0.15,0.7,0.15
step,17,0.15,0.7,0.15
step,18,0.15,0.7,0.15
step,19,0.15,0.7,0.15
step,20,0.15,0.7,0.15
step,21,0.15,0.7,0.15
step,22,0.15,0.7,0.15
step,23,0.15,0.7,0.15
step,24,0.15,0.7,0.15
step,25,0.15,0.7,0.15
step,26,0.15,0.7,0.15
step,27,0.15,0.7,0.15
step,28,0.15,0.7,0.15
step,29,0.15,0.7,0.15
step,30,0.15,0.7,0.15
step,31,0.15,0.7,0.15
step,32,0.15,0.15,0.7
step,33,0.15,0.15,0.7
step,34,0.15,0.15,0.7
step,35,0.15,0.15,0.7
step,36,0.15,0.15,0.7
step,37,0.15,0.15,0.7
step,38,0.15,0.15,0.7
step,39,0.15,0.15,0.7
step,40,0.15,0.15,0.7
step,41,0.15,0.15,0.7
step,42,0.15,0.15,0.7
step,43,0.15,0.15,0.7
step,44,0.15,0.15,0.7
step,45,0.15,0.15,0.7
step,46,0.15,0.15,0.7
step,47,0.15,0.15,0.7
linear,0,0.7000000000000001,0.20000000000000004,0.10000000000000002
linear,1,0.6802742404894095,0.2105459431357469,0.10917981637484352
linear,2,0.661100197744447,0.2207721807150091,0.11812762154054383
linear,3,0.6424901016208174,0.23064879551137782,0.12686110286780472
linear,4,0.6244513722618777,0.24014978650334623,0.1353988412347761
linear,5,0.606987136787279,0.24925275186836549,0.14376011134435557
linear,6,0.5900967261280604,0.2579385651366196,0.15196470873531992
linear,7,0.5737761453500781,0.2661910522053422,0.16003280244457965
linear,8,0.558018512819804,0.27399667536246963,0.16798481181772645
linear,9,0.5428144652726066,0.28134422907570383,0.17584130565168948
linear,10,0.528152527252797,0.28822455108583633,0.18362292166136676
linear,11,0.5140194445275148,0.2946302513053082,0.19135030416717705
linear,12,0.5004004819604889,0.3005554601593166,0.19904405788019447
linear,13,0.4872796869978183,0.3059955973061375,0.20672471569604417
linear,14,0.4746401203981515,0.31094716112083026,0.21441271848101826
linear,15,0.4624640561649873,0.3154075389053731,0.22212840492963962
linear,16,0.45073315283818965,0.31937483748128775,0.22989200968052248
linear,17,0.4394285984012539,0.32284773361118246,0.2377236679875636
linear,18,0.4285312310833232,0.3258253435676589,0.2456434253490179
linear,19,0.4180216383001351,0.3283071111074752,0.2536712505923897
linear,20,0.40788023590262945,0.3302927131031062,0.26182705099426434
linear,21,0.3980873297996921,0.3317819821219454,0.2701306880783625
linear,22,0.38862316190375396,0.33277484531592916,0.2786019927803168
