policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,66.603382,111.526316,0.597199,0.000000
cga,CGA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,61.654079,111.526316,0.552821,0.000000
hda,HDA,0,0.000,replay,0.978681,0.000000,7,1.383511,0.000000,0.388873,1.073814,,,53.075675,111.526316,0.475903,0.000000
kubernetes-default,K8s default,1,1.000,replay,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,66.010103,111.742824,0.590732,0.000000
cga,CGA,1,1.000,replay,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,56.343635,111.742824,0.504226,0.000000
hda,HDA,1,1.000,replay,0.976378,0.005724,7,1.395626,0.000000,0.386308,1.080025,,,53.936187,111.742824,0.482681,0.000000
kubernetes-default,K8s default,2,2.000,replay,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,65.111615,111.958786,0.581568,0.000000
cga,CGA,2,2.000,replay,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,61.497207,111.958786,0.549284,0.000000
hda,HDA,2,2.000,replay,0.974189,0.005617,7,1.407473,0.000000,0.383751,1.086142,,,57.802808,111.958786,0.516286,0.000000
kubernetes-default,K8s default,3,3.000,replay,0.966759,0.009721,7,1.419070,0.000000,0.381203,1.092163,,,65.406806,112.174203,0.583082,0.000000
cga,CGA,3,3.000,replay,0.966759,0.009721,7,1.419070,0.000000,0.381203,1.092163,,,58.204994,112.174203,0.518880,0.000000
hda,HDA,3,3.000,replay,0.966759,0.009721,7,1.419070,0.000000,0.381203,1.092163,,,54.251422,112.174203,0.483635,0.000000
kubernetes-default,K8s default,4,4.000,replay,1.002093,0.035682,7,1.430430,0.000000,0.378663,1.098084,,,65.411567,112.389074,0.582010,0.000000
