distinct_worker_nodes_used,errors,gda_build_time_ms,mean_latency_ms,migration_count,network_target_vs_measured_error,observed_cpu_memory_status,p50_latency_ms,p95_latency_ms,p99_latency_ms,placement,pod_count,policy,requests,rollout_ready_time_ms,scale,scheduler_decision_time_ms,sla_ms,sla_violation_rate,sla_violations,success,throughput_rps
3,0,,33.94427960350489,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,21.145925973542035,79.20402800664306,82.42674800567329,kubernetes,8,kubernetes,90,6210.435334942304,scale5,0.0,150.0,0.0,0,90,223.49517961327743
1,0,,27.178256878525847,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,17.568907933309674,66.8690389720723,72.0456320559606,policy1,8,policy1,90,4896.440132055432,scale5,0.0,150.0,0.0,0,90,277.41303698194764
4,0,,77.38128053412463,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,80.68105904385448,171.33157700300217,178.68553998414427,kubernetes,8,kubernetes,90,5290.766292950138,scale10,0.0,150.0,0.08888888888888889,8,90,96.5742871632569
1,0,,36.96528929156355,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,29.414151096716523,77.78688508551568,81.1799579532817,policy1,8,policy1,90,4180.619091028348,scale10,0.0,150.0,0.0,0,90,206.16598429459734
4,0,,72.64220015042358,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,76.88470603898168,168.24487003032118,172.93623695150018,kubernetes,8,kubernetes,90,5257.525542052463,scale20,0.0,150.0,0.1,9,90,107.55591616585481
1,0,,60.04532519081194,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,63.38728696573526,113.65110392216593,153.76176498830318,policy1,8,policy1,90,8719.850183930248,scale20,0.0,150.0,0.022222222222222223,2,90,128.57655196585836
3,0,,44.747849174826925,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,28.910381020978093,90.66555206663907,92.17473503667861,kubernetes,8,kubernetes,90,14895.13296901714,scale30,0.0,150.0,0.0,0,90,170.2973387698109
1,0,,64.20963778315733,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,67.60243594180793,114.80967199895531,159.63949100114405,policy1,8,policy1,90,9909.320767968893,scale30,0.0,150.0,0.03333333333333333,3,90,120.55995631639915
3,0,,63.35161185771641,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,73.42570496257395,111.40646995045245,114.50161994434893,kubernetes,8,kubernetes,90,7176.682325080037,scale45,0.0,150.0,0.011111111111111112,1,90,122.96861264438766
1,0,,65.27478070024193,0,,unavailable: Kubernetes Metrics API was not available; see env/metrics_api_top_nodes.txt.err,70.17982890829444,117.04030097462237,168.31073991488665,policy1,8,policy1,90,8783.07688399218,scale45,0.0,150.0,0.022222222222222223,2,90,119.79980653707193
