run_id,metric,unit,scale10-kubernetes,scale10-policy1,scale20-kubernetes,scale20-policy1,scale30-kubernetes,scale30-policy1,scale45-kubernetes,scale45-policy1,scale5-kubernetes,scale5-policy1,sources
physical-social-scale-series-20260523T184422Z,latency_p50_ms,ms,80.681,29.414,76.885,63.387,28.910,67.602,73.426,70.180,21.146,17.569,scale10-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p50_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p50_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p50_latency_ms
physical-social-scale-series-20260523T184422Z,latency_p95_ms,ms,171.33,77.787,168.24,113.65,90.666,114.81,111.41,117.04,79.204,66.869,scale10-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p95_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p95_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p95_latency_ms
physical-social-scale-series-20260523T184422Z,latency_p99_ms,ms,178.69,81.180,172.94,153.76,92.175,159.64,114.50,168.31,82.427,72.046,scale10-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale10-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale20-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale20-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale30-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale30-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale45-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale45-policy1:processed/physical_social_metrics.json#p99_latency_ms; scale5-kubernetes:processed/physical_social_metrics.json#p99_latency_ms; scale5-policy1:processed/physical_social_metrics.json#p99_latency_ms
physical-social-scale-series-20260523T184422Z,throughput_rps,requests/s,96.574,206.17,107.56,128.58,170.30,120.56,122.97,119.80,223.50,277.41,scale10-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale10-policy1:processed/physical_social_metrics.json#throughput_rps; scale20-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale20-policy1:processed/physical_social_metrics.json#throughput_rps; scale30-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale30-policy1:processed/physical_social_metrics.json#throughput_rps; scale45-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale45-policy1:processed/physical_social_metrics.json#throughput_rps; scale5-kubernetes:processed/physical_social_metrics.json#throughput_rps; scale5-policy1:processed/physical_social_metrics.json#throughput_rps
physical-social-scale-series-20260523T184422Z,sla_violations,count,8.0000,0.0000,9.0000,2.0000,0.0000,3.0000,1.0000,2.0000,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#sla_violations; scale10-policy1:processed/physical_social_metrics.json#sla_violations; scale20-kubernetes:processed/physical_social_metrics.json#sla_violations; scale20-policy1:processed/physical_social_metrics.json#sla_violations; scale30-kubernetes:processed/physical_social_metrics.json#sla_violations; scale30-policy1:processed/physical_social_metrics.json#sla_violations; scale45-kubernetes:processed/physical_social_metrics.json#sla_violations; scale45-policy1:processed/physical_social_metrics.json#sla_violations; scale5-kubernetes:processed/physical_social_metrics.json#sla_violations; scale5-policy1:processed/physical_social_metrics.json#sla_violations
physical-social-scale-series-20260523T184422Z,sla_violation_rate,ratio,0.0889,0.0000,0.1000,0.0222,0.0000,0.0333,0.0111,0.0222,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale10-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale20-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale20-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale30-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale30-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale45-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale45-policy1:processed/physical_social_metrics.json#sla_violation_rate; scale5-kubernetes:processed/physical_social_metrics.json#sla_violation_rate; scale5-policy1:processed/physical_social_metrics.json#sla_violation_rate
physical-social-scale-series-20260523T184422Z,scheduler_decision_time_ms,ms,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,scale10-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale10-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale20-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale20-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale30-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale30-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale45-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale45-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale5-kubernetes:processed/physical_social_metrics.json#scheduler_decision_time_ms; scale5-policy1:processed/physical_social_metrics.json#scheduler_decision_time_ms
physical-social-scale-series-20260523T184422Z,gda_build_time_ms,ms,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,scale10-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale10-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale20-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale20-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale30-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale30-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale45-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale45-policy1:processed/physical_social_metrics.json#gda_build_time_ms; scale5-kubernetes:processed/physical_social_metrics.json#gda_build_time_ms; scale5-policy1:processed/physical_social_metrics.json#gda_build_time_ms
physical-social-scale-series-20260523T184422Z,ndm_injection_time_ms,ms,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
physical-social-scale-series-20260523T184422Z,cpu_overhead_pct,percent,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
