step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.037683,0.037683,0.037683,0.458226,0.277993,0.037683,0.037683,0.037683,0.037683,3.391473,3.391473,3.391473,41.240310,25.019380,3.391473,3.391473,3.391473,3.391473,0.969300,0.000000,0.000000,1.000000,0.00000000,2.276992,0.000000,10,0.296456,-0.080858,,,66.249051,116.982127,0.566318,0.000000
1,0.010,0.034385,0.034385,0.034385,0.473819,0.285490,0.034385,0.034385,0.034385,0.034385,3.094607,3.094607,3.094607,42.643678,25.694076,3.094607,3.094607,3.094607,3.094607,1.029682,0.000000,0.051209,0.987879,5.12090750,2.197155,0.000000,10,0.300402,-0.084878,,,73.694225,115.973082,0.635443,0.000000
2,0.020,0.032314,0.032314,0.032314,0.483607,0.290196,0.032314,0.032314,0.032314,0.032314,2.908250,2.908250,2.908250,43.524638,26.117614,2.908250,2.908250,2.908250,2.908250,1.029902,0.100000,0.029058,1.000000,2.90582790,2.144897,0.000000,9,0.243835,-0.107431,,,70.264047,115.339657,0.609192,0.000000
3,0.030,0.031617,0.031617,0.031617,0.486902,0.291780,0.031617,0.031617,0.031617,0.031617,2.845528,2.845528,2.845528,43.821138,26.260163,2.845528,2.845528,2.845528,2.845528,1.014696,0.000000,0.016571,1.000000,1.65707950,2.126922,0.000000,9,0.244509,-0.106239,,,67.048784,115.126468,0.582392,0.000000
4,0.040,0.032314,0.032314,0.032314,0.483607,0.290196,0.032314,0.032314,0.032314,0.032314,2.908250,2.908250,2.908250,43.524638,26.117614,2.908250,2.908250,2.908250,2.908250,0.887127,0.111111,0.137503,1.000000,13.75028852,2.144897,0.000000,8,0.169094,0.733492,,,67.990253,115.339657,0.589479,0.000000
5,0.050,0.034385,0.034385,0.034385,0.473819,0.285490,0.034385,0.034385,0.034385,0.034385,3.094607,3.094607,3.094607,42.643678,25.694076,3.094607,3.094607,3.094607,3.094607,0.745380,0.000000,0.155969,1.000000,15.59687933,2.197155,0.000000,8,0.167994,0.738988,,,70.348827,115.973082,0.606596,0.000000
6,0.060,0.037683,0.037683,0.037683,0.458226,0.277993,0.037683,0.037683,0.037683,0.037683,3.391473,3.391473,3.391473,41.240310,25.019380,3.391473,3.391473,3.391473,3.391473,0.692019,0.000000,0.064907,0.976190,6.49069872,2.276992,0.000000,8,0.166638,0.745956,,,63.080080,116.982127,0.539228,0.000000
7,0.070,0.041682,0.041682,0.041682,0.439324,0.268906,0.041682,0.041682,0.041682,0.041682,3.751340,3.751340,3.751340,39.539121,24.201501,3.751340,3.751340,3.751340,3.751340,0.567796,0.000000,0.172400,1.000000,17.24003427,2.368459,0.000000,8,0.165931,0.747277,,,68.639012,118.205311,0.580676,0.000000
8,0.080,0.045192,0.045192,0.045192,0.422729,0.260927,0.045192,0.045192,0.045192,0.045192,4.067275,4.067275,4.067275,38.045608,23.483465,4.067275,4.067275,4.067275,4.067275,0.652928,0.000000,0.136892,0.976190,13.68921123,2.444219,0.000000,8,0.166712,0.738109,,,65.637751,119.279173,0.550287,0.000000
9,0.090,0.046629,0.046629,0.046629,0.415934,0.257661,0.046629,0.046629,0.046629,0.046629,4.196643,4.196643,4.196643,37.434053,23.189448,4.196643,4.196643,4.196643,4.196643,0.672252,0.111111,0.052294,1.000000,5.22938718,2.474064,0.000000,9,0.235324,-0.040913,,,63.067120,119.718892,0.526793,0.000000
10,0.100,0.045192,0.045192,0.045192,0.422729,0.260927,0.045192,0.045192,0.045192,0.045192,4.067275,4.067275,4.067275,38.045608,23.483465,4.067275,4.067275,4.067275,4.067275,0.700375,0.000000,0.036642,1.000000,3.66424967,2.444219,0.000000,9,0.235560,-0.053617,,,67.080415,119.279173,0.562382,0.000000
11,0.110,0.041682,0.041682,0.041682,0.439324,0.268906,0.041682,0.041682,0.041682,0.041682,3.751340,3.751340,3.751340,39.539121,24.201501,3.751340,3.751340,3.751340,3.751340,0.828092,0.000000,0.146606,0.983333,14.66059289,2.368459,0.000000,9,0.236526,-0.080447,,,72.559264,118.205311,0.613841,0.000000
