mode,step,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large
step,0,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,1,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,2,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,3,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,4,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,5,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
step,6,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334,0.03333333333333334
step,7,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.7333333333333334,0.03333333333333334
step,8,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7333333333333333
step,9,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7333333333333333
step,10,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7333333333333333
step,11,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.7333333333333333
linear,0,0.7333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334,0.03333333333333334
linear,1,0.6339747066798289,0.031555302142434925,0.031555302142434925,0.031555302142434925,0.08489623786938715,0.031555302142434925,0.031555302142434925,0.031555302142434925,0.09179724259617433
linear,2,0.5469228434292592,0.03008075638860926,0.03008075638860926,0.03008075638860926,0.12765806473033167,0.03008075638860926,0.03008075638860926,0.03008075638860926,0.1449345535087537
linear,3,0.4712020870757719,0.02895655283705861,0.02895655283705861,0.02895655283705861,0.16025996772530043,0.02895655283705861,0.02895655283705861,0.02895655283705861,0.1947986281765761
linear,4,0.4050911115651934,0.028202545741880556,0.028202545741880556,0.028202545741880556,0.18212617348546387,0.028202545741880556,0.028202545741880556,0.028202545741880556,0.2435674404980593
linear,5,0.346547488251293,0.027824980808497983,0.027824980808497983,0.027824980808497983,0.1930755565535585,0.027824980808497983,0.027824980808497983,0.027824980808497983,0.29342707034416055
linear,6,0.29342707034416055,0.027824980808497983,0.027824980808497983,0.027824980808497983,0.1930755565535585,0.027824980808497983,0.027824980808497983,0.027824980808497983,0.346547488251293
linear,7,0.2435674404980593,0.028202545741880556,0.028202545741880556,0.028202545741880556,0.18212617348546387,0.028202545741880556,0.028202545741880556,0.028202545741880556,0.4050911115651934
linear,8,0.1947986281765761,0.02895655283705861,0.02895655283705861,0.02895655283705861,0.16025996772530043,0.02895655283705861,0.02895655283705861,0.02895655283705861,0.4712020870757719
linear,9,0.14493455350875364,0.030080756388609253,0.030080756388609253,0.030080756388609253,0.12765806473033162,0.030080756388609253,0.030080756388609253,0.030080756388609253,0.5469228434292591
linear,10,0.09179724259617435,0.031555302142434925,0.031555302142434925,0.031555302142434925,0.08489623786938721,0.031555302142434925,0.031555302142434925,0.031555302142434925,0.6339747066798289
