policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay,0.969300,0.000000,10,2.276992,0.000000,0.296456,-0.080858,,,66.249051,116.982127,0.566318,0.000000
cga,CGA,0,0.000,replay,0.969300,0.000000,10,2.276992,0.000000,0.296456,-0.080858,,,66.388443,116.982127,0.567509,0.000000
hda,HDA,0,0.000,replay,0.969300,0.000000,10,2.276992,0.000000,0.296456,-0.080858,,,61.845363,116.982127,0.528674,0.000000
policy2,Policy 2,0,0.000,replay,0.969300,0.000000,10,2.276992,0.000000,0.296456,-0.080858,,,62.893088,116.982127,0.537630,0.000000
policy3,Policy 3,0,0.000,replay,0.969300,0.000000,10,2.276992,0.000000,0.296456,-0.080858,,,58.701239,116.982127,0.501797,0.000000
kubernetes-default,K8s default,1,0.010,replay,1.029682,0.051209,10,2.197155,0.000000,0.300402,-0.084878,,,73.694225,115.973082,0.635443,0.000000
cga,CGA,1,0.010,replay,1.029682,0.051209,10,2.197155,0.000000,0.300402,-0.084878,,,66.221629,115.973082,0.571009,0.000000
hda,HDA,1,0.010,replay,1.029682,0.051209,10,2.197155,0.000000,0.300402,-0.084878,,,65.231026,115.973082,0.562467,0.000000
policy2,Policy 2,1,0.010,replay,1.029682,0.051209,10,2.197155,0.000000,0.300402,-0.084878,,,65.045251,115.973082,0.560865,0.000000
policy3,Policy 3,1,0.010,replay,1.029682,0.051209,10,2.197155,0.000000,0.300402,-0.084878,,,64.060399,115.973082,0.552373,0.000000
kubernetes-default,K8s default,2,0.020,replay,1.029902,0.029058,9,2.144897,0.000000,0.243835,-0.107431,,,70.264047,115.339657,0.609192,0.000000
cga,CGA,2,0.020,replay,1.029902,0.029058,9,2.144897,0.000000,0.243835,-0.107431,,,64.993289,115.339657,0.563495,0.000000
hda,HDA,2,0.020,replay,1.029902,0.029058,9,2.144897,0.000000,0.243835,-0.107431,,,67.509643,115.339657,0.585312,0.000000
