source,destination,active_steps,active_step_ratio,mean_weight,max_weight
aggregator,cache,199,0.199000,2.746555,17.774180
cache,aggregator,112,0.112000,4.027604,45.783525
expert-0,aggregator,1000,1.000000,52.376629,93.160943
expert-1,aggregator,1000,1.000000,35.440882,85.408786
expert-2,aggregator,535,0.535000,10.971358,69.509965
expert-3,aggregator,112,0.112000,3.275092,39.345455
frontend,router,1000,1.000000,73.430618,128.555482
frontend,tokenizer,1000,1.000000,53.859050,100.605102
router,cache,454,0.454000,10.144499,67.251145
router,expert-0,1000,1.000000,58.159269,102.128596
router,expert-1,1000,1.000000,39.573203,93.620131
router,expert-2,646,0.646000,12.933242,76.612778
router,expert-3,112,0.112000,3.820941,45.903031
