step,time_s,p_read_home,p_compose_post,p_read_user,qps_read_home,qps_compose_post,qps_read_user,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.912956,0.000000,0.000000,1.000000,0.00000000,1.035040,0.000000,12,0.483916,1.012120,,,92.253061,126.000000,0.732167,0.000000
1,5.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.925071,0.000000,0.013097,1.000000,0.00261932,1.035040,0.000000,12,0.483916,1.012120,,,93.929499,126.000000,0.745472,0.000000
2,10.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.955195,0.000000,0.031537,1.000000,0.00630748,1.035040,0.000000,12,0.483916,1.012120,,,97.894522,126.000000,0.776941,0.000000
3,15.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.986356,0.000000,0.031591,1.000000,0.00631824,1.035040,0.000000,12,0.483916,1.012120,,,98.514432,126.000000,0.781861,0.000000
4,20.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.933872,0.000000,0.053209,1.000000,0.01064185,1.035040,0.000000,12,0.483916,1.012120,,,97.829595,126.000000,0.776425,0.000000
5,25.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.933258,0.000000,0.000658,1.000000,0.00013156,1.035040,0.000000,12,0.483916,1.012120,,,98.001461,126.000000,0.777789,0.000000
6,30.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.947180,0.000000,0.761789,0.114639,0.15235771,1.035040,1.000000,12,0.492045,1.410549,,,135.941538,132.400000,1.026749,0.026749
7,35.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,1.001721,0.000000,0.765825,0.114639,0.15316491,1.035040,1.000000,12,0.483916,1.012120,,,129.336195,126.000000,1.026478,0.026478
8,40.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.942640,0.000000,0.766215,0.114639,0.15324296,1.035040,1.000000,12,0.492045,1.410549,,,137.834650,132.400000,1.041047,0.041047
9,45.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,1.003878,0.000000,0.061001,1.000000,0.01220028,1.035040,0.000000,12,0.492045,1.410549,,,109.776520,132.400000,0.829128,0.000000
10,50.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.997916,0.000000,0.005939,1.000000,0.00118770,1.035040,0.000000,12,0.492045,1.410549,,,104.201355,132.400000,0.787019,0.000000
11,55.000,0.120000,0.120000,0.760000,10.800000,10.800000,68.400000,0.947219,0.000000,0.050803,1.000000,0.01016058,1.035040,0.000000,12,0.492045,1.410549,,,104.977049,132.400000,0.792878,0.000000
12,60.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.988963,0.000000,0.764778,0.114639,0.15295560,1.035040,1.000000,12,0.483916,1.012120,,,127.081193,126.000000,1.008581,0.008581
13,65.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.981982,0.000000,0.007059,1.000000,0.00141183,1.035040,0.000000,12,0.483916,1.012120,,,95.361075,126.000000,0.756834,0.000000
14,70.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,0.980248,0.000000,0.001766,1.000000,0.00035330,1.035040,0.000000,12,0.483916,1.012120,,,97.201240,126.000000,0.771438,0.000000
15,75.000,0.760000,0.120000,0.120000,68.400000,10.800000,10.800000,1.040382,0.142857,0.089639,1.000000,0.01792782,1.035040,0.000000,14,0.509834,1.231596,,,99.137453,126.000000,0.786805,0.000000
16,80.000,0.120000,0.760000,0.120000,10.800000,68.400000,10.800000,0.951788,0.066667,0.810078,-0.311490,0.16201562,1.035040,1.000000,15,0.407598,0.608734,,,164.893302,151.600000,1.087687,0.087687
17,85.000,0.120000,0.760000,0.120000,10.800000,68.400000,10.800000,0.946216,0.000000,0.005854,1.000000,0.00117084,1.035040,0.000000,15,0.407598,0.608734,,,126.940173,151.600000,0.837336,0.000000
18,90.000,0.120000,0.760000,0.120000,10.800000,68.400000,10.800000,1.039835,0.000000,0.090032,1.000000,0.01800643,1.035040,0.000000,15,0.407598,0.608734,,,136.824442,151.600000,0.902536,0.000000
