step,time_s,source,destination,weight
0,0.0,compose-post-service,home-timeline-service,6.901945
0,0.0,compose-post-service,post-storage-service,7.887937
0,0.0,compose-post-service,user-service,5.915953
0,0.0,compose-post-service,user-timeline-service,5.915953
0,0.0,home-timeline-service,post-storage-service,56.201554
0,0.0,home-timeline-service,social-graph-service,43.712320
0,0.0,home-timeline-service,user-service,31.223085
0,0.0,nginx-thrift,compose-post-service,9.859922
0,0.0,nginx-thrift,home-timeline-service,62.446171
0,0.0,nginx-thrift,user-timeline-service,9.859922
0,0.0,user-timeline-service,post-storage-service,8.380933
0,0.0,user-timeline-service,user-service,5.422957
1,5.0,compose-post-service,home-timeline-service,6.993537
1,5.0,compose-post-service,post-storage-service,7.992614
1,5.0,compose-post-service,user-service,5.994460
1,5.0,compose-post-service,user-timeline-service,5.994460
1,5.0,home-timeline-service,post-storage-service,56.947372
1,5.0,home-timeline-service,social-graph-service,44.292400
1,5.0,home-timeline-service,user-service,31.637429
1,5.0,nginx-thrift,compose-post-service,9.990767
1,5.0,nginx-thrift,home-timeline-service,63.274857
1,5.0,nginx-thrift,user-timeline-service,9.990767
1,5.0,user-timeline-service,post-storage-service,8.492152
1,5.0,user-timeline-service,user-service,5.494922
2,10.0,compose-post-service,home-timeline-service,7.221277
2,10.0,compose-post-service,post-storage-service,8.252888
2,10.0,compose-post-service,user-service,6.189666
2,10.0,compose-post-service,user-timeline-service,6.189666
2,10.0,home-timeline-service,post-storage-service,58.801828
2,10.0,home-timeline-service,social-graph-service,45.734755
2,10.0,home-timeline-service,user-service,32.667682
2,10.0,nginx-thrift,compose-post-service,10.316110
2,10.0,nginx-thrift,home-timeline-service,65.335365
2,10.0,nginx-thrift,user-timeline-service,10.316110
2,10.0,user-timeline-service,post-storage-service,8.768694
2,10.0,user-timeline-service,user-service,5.673861
3,15.0,compose-post-service,home-timeline-service,7.456848
3,15.0,compose-post-service,post-storage-service,8.522112
3,15.0,compose-post-service,user-service,6.391584
3,15.0,compose-post-service,user-timeline-service,6.391584
3,15.0,home-timeline-service,post-storage-service,60.720049
3,15.0,home-timeline-service,social-graph-service,47.226705
3,15.0,home-timeline-service,user-service,33.733360
3,15.0,nginx-thrift,compose-post-service,10.652640
3,15.0,nginx-thrift,home-timeline-service,67.466721
3,15.0,nginx-thrift,user-timeline-service,10.652640
3,15.0,user-timeline-service,post-storage-service,9.054744
3,15.0,user-timeline-service,user-service,5.858952
4,20.0,compose-post-service,home-timeline-service,7.060075
4,20.0,compose-post-service,post-storage-service,8.068657
4,20.0,compose-post-service,user-service,6.051493
4,20.0,compose-post-service,user-timeline-service,6.051493
4,20.0,home-timeline-service,post-storage-service,57.489182
4,20.0,home-timeline-service,social-graph-service,44.713808
4,20.0,home-timeline-service,user-service,31.938434
4,20.0,nginx-thrift,compose-post-service,10.085821
4,20.0,nginx-thrift,home-timeline-service,63.876869
4,20.0,nginx-thrift,user-timeline-service,10.085821
4,20.0,user-timeline-service,post-storage-service,8.572948
4,20.0,user-timeline-service,user-service,5.547202
5,25.0,compose-post-service,home-timeline-service,7.055431
5,25.0,compose-post-service,post-storage-service,8.063350
5,25.0,compose-post-service,user-service,6.047512
5,25.0,compose-post-service,user-timeline-service,6.047512
5,25.0,home-timeline-service,post-storage-service,57.451365
5,25.0,home-timeline-service,social-graph-service,44.684395
5,25.0,home-timeline-service,user-service,31.917425
5,25.0,nginx-thrift,compose-post-service,10.079187
5,25.0,nginx-thrift,home-timeline-service,63.834850
5,25.0,nginx-thrift,user-timeline-service,10.079187
5,25.0,user-timeline-service,post-storage-service,8.567309
5,25.0,user-timeline-service,user-service,5.543553
6,30.0,compose-post-service,home-timeline-service,7.160683
6,30.0,compose-post-service,post-storage-service,8.183638
6,30.0,compose-post-service,user-service,6.137729
6,30.0,compose-post-service,user-timeline-service,6.137729
6,30.0,home-timeline-service,post-storage-service,9.206593
6,30.0,home-timeline-service,social-graph-service,7.160683
6,30.0,home-timeline-service,user-service,5.114774
6,30.0,nginx-thrift,compose-post-service,10.229548
6,30.0,nginx-thrift,home-timeline-service,10.229548
