policy,policy_display_name,step,time_s,evidence_type,traffic_stress,weighted_edge_distance,active_edge_count,request_mix_entropy,top3_hotspot_churn,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
kubernetes-default,K8s default,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,92.253061,126.000000,0.732167,0.000000
cga,CGA,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,89.265939,126.000000,0.708460,0.000000
hda,HDA,0,0.000,replay/model/control-plane,0.912956,0.000000,12,1.035040,0.000000,0.483916,1.012120,,,81.087022,126.000000,0.643548,0.000000
kubernetes-default,K8s default,1,5.000,replay/model/control-plane,0.925071,0.013097,12,1.035040,0.000000,0.483916,1.012120,,,93.929499,126.000000,0.745472,0.000000
cga,CGA,1,5.000,replay/model/control-plane,0.925071,0.013097,12,1.035040,0.000000,0.483916,1.012120,,,89.283042,126.000000,0.708596,0.000000
hda,HDA,1,5.000,replay/model/control-plane,0.925071,0.013097,12,1.035040,0.000000,0.483916,1.012120,,,84.701940,126.000000,0.672238,0.000000
kubernetes-default,K8s default,2,10.000,replay/model/control-plane,0.955195,0.031537,12,1.035040,0.000000,0.483916,1.012120,,,97.894522,126.000000,0.776941,0.000000
cga,CGA,2,10.000,replay/model/control-plane,0.955195,0.031537,12,1.035040,0.000000,0.483916,1.012120,,,90.256010,126.000000,0.716318,0.000000
hda,HDA,2,10.000,replay/model/control-plane,0.955195,0.031537,12,1.035040,0.000000,0.483916,1.012120,,,88.974363,126.000000,0.706146,0.000000
kubernetes-default,K8s default,3,15.000,replay/model/control-plane,0.986356,0.031591,12,1.035040,0.000000,0.483916,1.012120,,,98.514432,126.000000,0.781861,0.000000
cga,CGA,3,15.000,replay/model/control-plane,0.986356,0.031591,12,1.035040,0.000000,0.483916,1.012120,,,95.564888,126.000000,0.758451,0.000000
hda,HDA,3,15.000,replay/model/control-plane,0.986356,0.031591,12,1.035040,0.000000,0.483916,1.012120,,,85.637653,126.000000,0.679664,0.000000
kubernetes-default,K8s default,4,20.000,replay/model/control-plane,0.933872,0.053209,12,1.035040,0.000000,0.483916,1.012120,,,97.829595,126.000000,0.776425,0.000000
cga,CGA,4,20.000,replay/model/control-plane,0.933872,0.053209,12,1.035040,0.000000,0.483916,1.012120,,,91.322314,126.000000,0.724780,0.000000
hda,HDA,4,20.000,replay/model/control-plane,0.933872,0.053209,12,1.035040,0.000000,0.483916,1.012120,,,87.362117,126.000000,0.693350,0.000000
kubernetes-default,K8s default,5,25.000,replay/model/control-plane,0.933258,0.000658,12,1.035040,0.000000,0.483916,1.012120,,,98.001461,126.000000,0.777789,0.000000
cga,CGA,5,25.000,replay/model/control-plane,0.933258,0.000658,12,1.035040,0.000000,0.483916,1.012120,,,90.035008,126.000000,0.714564,0.000000
hda,HDA,5,25.000,replay/model/control-plane,0.933258,0.000658,12,1.035040,0.000000,0.483916,1.012120,,,86.074293,126.000000,0.683129,0.000000
kubernetes-default,K8s default,6,30.000,replay/model/control-plane,0.947180,0.761789,12,1.035040,1.000000,0.492045,1.410549,,,135.941538,132.400000,1.026749,0.026749
cga,CGA,6,30.000,replay/model/control-plane,0.947180,0.761789,12,1.035040,1.000000,0.492045,1.410549,,,132.393114,132.400000,0.999948,0.000000
hda,HDA,6,30.000,replay/model/control-plane,0.947180,0.761789,12,1.035040,1.000000,0.492045,1.410549,,,121.561648,132.400000,0.918139,0.000000
kubernetes-default,K8s default,7,35.000,replay/model/control-plane,1.001721,0.765825,12,1.035040,1.000000,0.483916,1.012120,,,129.336195,126.000000,1.026478,0.026478
