step,time_s,p_single_expert,p_multi_expert_top2,p_multi_expert_top4,p_cache_hit,p_cache_miss,p_payload_small,p_payload_large,p_batch_small,p_batch_large,qps_single_expert,qps_multi_expert_top2,qps_multi_expert_top4,qps_cache_hit,qps_cache_miss,qps_payload_small,qps_payload_large,qps_batch_small,qps_batch_large,traffic_stress,edge_jaccard_distance,weighted_edge_distance,hot_edge_rank_correlation,graph_change_rate_per_s,request_mix_entropy,top3_hotspot_churn,active_edge_count,traffic_stress_gini,traffic_stress_skew,migration_count,policy_decision_time_ms,latency_ms,sla_ms,sla_pressure,sla_violation_ratio
0,0.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.969300,0.000000,0.000000,1.000000,0.00000000,1.636641,0.000000,8,0.406120,0.093267,,,60.611391,108.333333,0.559490,0.000000
1,0.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.966640,0.000000,0.002743,1.000000,0.02743249,1.636641,0.000000,8,0.406120,0.093267,,,65.037741,108.333333,0.600348,0.000000
2,0.200,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.959227,0.000000,0.007669,1.000000,0.07669020,1.636641,0.000000,8,0.406120,0.093267,,,63.136592,108.333333,0.582799,0.000000
3,0.300,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.994400,0.000000,0.035371,1.000000,0.35370745,1.636641,0.000000,8,0.406120,0.093267,,,63.167234,108.333333,0.583082,0.000000
4,0.400,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.962272,0.000000,0.032309,1.000000,0.32308549,1.636641,0.000000,8,0.406120,0.093267,,,61.110918,108.333333,0.564101,0.000000
5,0.500,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.936001,0.000000,0.027301,1.000000,0.27301389,1.636641,0.000000,8,0.406120,0.093267,,,65.132564,108.333333,0.601224,0.000000
6,0.600,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.987747,0.000000,0.052388,1.000000,0.52387803,1.636641,0.000000,8,0.406120,0.093267,,,65.003422,108.333333,0.600032,0.000000
7,0.700,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.930631,0.000000,0.057825,1.000000,0.57824538,1.636641,0.000000,8,0.406120,0.093267,,,67.216567,108.333333,0.620461,0.000000
8,0.800,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.027413,0.000000,0.094200,1.000000,0.94200178,1.636641,0.000000,8,0.406120,0.093267,,,66.677067,108.333333,0.615481,0.000000
9,0.900,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.000329,0.000000,0.026361,1.000000,0.26361366,1.636641,0.000000,8,0.406120,0.093267,,,63.295479,108.333333,0.584266,0.000000
10,1.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.936932,0.000000,0.063376,1.000000,0.63376135,1.636641,0.000000,8,0.406120,0.093267,,,67.542894,108.333333,0.623473,0.000000
11,1.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.953046,0.000000,0.016907,1.000000,0.16907418,1.636641,0.000000,8,0.406120,0.093267,,,63.754535,108.333333,0.588503,0.000000
12,1.200,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.032153,0.000000,0.076643,1.000000,0.76642728,1.636641,0.000000,8,0.406120,0.093267,,,71.064072,108.333333,0.655976,0.000000
13,1.300,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.015852,0.000000,0.015793,1.000000,0.15793309,1.636641,0.000000,8,0.406120,0.093267,,,59.112607,108.333333,0.545655,0.000000
14,1.400,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.000983,0.000000,0.014637,1.000000,0.14636825,1.636641,0.000000,8,0.406120,0.093267,,,61.504284,108.333333,0.567732,0.000000
15,1.500,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.981334,0.000000,0.019630,1.000000,0.19629531,1.636641,0.000000,8,0.406120,0.093267,,,59.698267,108.333333,0.551061,0.000000
16,1.600,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.024260,0.000000,0.041909,1.000000,0.41908773,1.636641,0.000000,8,0.406120,0.093267,,,67.194010,108.333333,0.620252,0.000000
17,1.700,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.022211,0.000000,0.002000,1.000000,0.02000202,1.636641,0.000000,8,0.406120,0.093267,,,61.970760,108.333333,0.572038,0.000000
18,1.800,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.953069,0.000000,0.067639,1.000000,0.67639124,1.636641,0.000000,8,0.406120,0.093267,,,62.980497,108.333333,0.581358,0.000000
19,1.900,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.023831,0.000000,0.069115,1.000000,0.69114879,1.636641,0.000000,8,0.406120,0.093267,,,65.571837,108.333333,0.605278,0.000000
20,2.000,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.975065,0.000000,0.047631,1.000000,0.47631181,1.636641,0.000000,8,0.406120,0.093267,,,63.232989,108.333333,0.583689,0.000000
21,2.100,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,1.027101,0.000000,0.050663,1.000000,0.50663172,1.636641,0.000000,8,0.406120,0.093267,,,71.807048,108.333333,0.662834,0.000000
22,2.200,0.733333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,0.033333,66.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,3.000000,0.955386,0.000000,0.069823,1.000000,0.69823326,1.636641,0.000000,8,0.406120,0.093267,,,62.582228,108.333333,0.577682,0.000000
