LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
6s          Normal    Scheduled           pod/media-service-6897876856-4285l            Successfully assigned pss-20260603072120z-s20-p1-r03/media-service-6897876856-4285l to emu-worker-9
6s          Normal    Scheduled           pod/user-timeline-service-ff9b5bb6-8xmzg      Successfully assigned pss-20260603072120z-s20-p1-r03/user-timeline-service-ff9b5bb6-8xmzg to emu-worker-9
6s          Normal    Scheduled           pod/user-service-85d78fb856-8zggr             Successfully assigned pss-20260603072120z-s20-p1-r03/user-service-85d78fb856-8zggr to emu-worker-9
6s          Normal    Scheduled           pod/unique-id-service-5668cd59d6-2gr7v        Successfully assigned pss-20260603072120z-s20-p1-r03/unique-id-service-5668cd59d6-2gr7v to emu-worker-9
6s          Normal    Scheduled           pod/text-service-5d494ccd4-njvld              Successfully assigned pss-20260603072120z-s20-p1-r03/text-service-5d494ccd4-njvld to emu-worker-9
6s          Normal    Scheduled           pod/compose-post-service-64d956f48-mbhqs      Successfully assigned pss-20260603072120z-s20-p1-r03/compose-post-service-64d956f48-mbhqs to emu-worker-9
6s          Normal    Scheduled           pod/home-timeline-service-5ff4c6d6fd-r2b69    Successfully assigned pss-20260603072120z-s20-p1-r03/home-timeline-service-5ff4c6d6fd-r2b69 to emu-worker-9
6s          Normal    Scheduled           pod/nginx-thrift-744bb9c6cc-g7pf9             Successfully assigned pss-20260603072120z-s20-p1-r03/nginx-thrift-744bb9c6cc-g7pf9 to emu-worker-9
7s          Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-744bb9c6cc from 0 to 1
7s          Normal    SuccessfulCreate    replicaset/nginx-thrift-744bb9c6cc            Created pod: nginx-thrift-744bb9c6cc-g7pf9
7s          Normal    SuccessfulCreate    replicaset/home-timeline-service-5ff4c6d6fd   Created pod: home-timeline-service-5ff4c6d6fd-r2b69
7s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-5ff4c6d6fd from 0 to 1
7s          Normal    ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-ff9b5bb6 from 0 to 1
7s          Normal    SuccessfulCreate    replicaset/user-timeline-service-ff9b5bb6     Created pod: user-timeline-service-ff9b5bb6-8xmzg
7s          Normal    ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-85d78fb856 from 0 to 1
7s          Normal    SuccessfulCreate    replicaset/compose-post-service-64d956f48     Created pod: compose-post-service-64d956f48-mbhqs
7s          Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-64d956f48 from 0 to 1
6s          Normal    SuccessfulCreate    replicaset/text-service-5d494ccd4             Created pod: text-service-5d494ccd4-njvld
6s          Normal    SuccessfulCreate    replicaset/unique-id-service-5668cd59d6       Created pod: unique-id-service-5668cd59d6-2gr7v
6s          Normal    Pulled              pod/home-timeline-service-5ff4c6d6fd-r2b69    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Pulled              pod/nginx-thrift-744bb9c6cc-g7pf9             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Created             pod/nginx-thrift-744bb9c6cc-g7pf9             Container created
6s          Normal    Started             pod/nginx-thrift-744bb9c6cc-g7pf9             Container started
6s          Normal    SuccessfulCreate    replicaset/media-service-6897876856           Created pod: media-service-6897876856-4285l
6s          Normal    Created             pod/home-timeline-service-5ff4c6d6fd-r2b69    Container created
6s          Normal    Pulled              pod/user-timeline-service-ff9b5bb6-8xmzg      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    Pulled              pod/compose-post-service-64d956f48-mbhqs      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    SuccessfulCreate    replicaset/user-service-85d78fb856            Created pod: user-service-85d78fb856-8zggr
6s          Normal    ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-6897876856 from 0 to 1
6s          Normal    Started             pod/home-timeline-service-5ff4c6d6fd-r2b69    Container started
6s          Normal    ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-5d494ccd4 from 0 to 1
6s          Normal    Pulled              pod/user-service-85d78fb856-8zggr             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal    ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-5668cd59d6 from 0 to 1
5s          Normal    Created             pod/user-service-85d78fb856-8zggr             Container created
5s          Normal    Started             pod/user-service-85d78fb856-8zggr             Container started
5s          Normal    Created             pod/unique-id-service-5668cd59d6-2gr7v        Container created
5s          Normal    Pulled              pod/unique-id-service-5668cd59d6-2gr7v        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Created             pod/compose-post-service-64d956f48-mbhqs      Container created
5s          Normal    Started             pod/compose-post-service-64d956f48-mbhqs      Container started
5s          Normal    Started             pod/text-service-5d494ccd4-njvld              Container started
5s          Normal    Started             pod/unique-id-service-5668cd59d6-2gr7v        Container started
5s          Normal    Created             pod/text-service-5d494ccd4-njvld              Container created
5s          Normal    Created             pod/media-service-6897876856-4285l            Container created
5s          Normal    Pulled              pod/text-service-5d494ccd4-njvld              Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Pulled              pod/media-service-6897876856-4285l            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal    Created             pod/user-timeline-service-ff9b5bb6-8xmzg      Container created
5s          Normal    Started             pod/user-timeline-service-ff9b5bb6-8xmzg      Container started
4s          Normal    Started             pod/media-service-6897876856-4285l            Container started
4s          Warning   Unhealthy           pod/media-service-6897876856-4285l            Readiness probe failed: Get "http://192.168.71.120:8080/healthz": dial tcp 192.168.71.120:8080: connect: connection refused
