LAST SEEN   TYPE      REASON              OBJECT                                        MESSAGE
5s          Normal    Scheduled           pod/media-service-8659f44dbf-8f4xx            Successfully assigned pss-20260603072120z-s30-k8s-r04/media-service-8659f44dbf-8f4xx to emu-worker-4
5s          Normal    Scheduled           pod/user-timeline-service-5dfdffbd8f-kg4hh    Successfully assigned pss-20260603072120z-s30-k8s-r04/user-timeline-service-5dfdffbd8f-kg4hh to emu-worker-9
5s          Normal    Scheduled           pod/user-service-84b9c58789-ttnd4             Successfully assigned pss-20260603072120z-s30-k8s-r04/user-service-84b9c58789-ttnd4 to emu-worker-9
5s          Normal    Scheduled           pod/unique-id-service-769b668b89-5f4xs        Successfully assigned pss-20260603072120z-s30-k8s-r04/unique-id-service-769b668b89-5f4xs to emu-worker-2
5s          Normal    Scheduled           pod/text-service-7f74645d8f-w9bp8             Successfully assigned pss-20260603072120z-s30-k8s-r04/text-service-7f74645d8f-w9bp8 to emu-worker-9
5s          Normal    Scheduled           pod/compose-post-service-65ccb6bfdf-hc8dn     Successfully assigned pss-20260603072120z-s30-k8s-r04/compose-post-service-65ccb6bfdf-hc8dn to emu-worker-9
5s          Normal    Scheduled           pod/home-timeline-service-97b5cc7c-wl8w7      Successfully assigned pss-20260603072120z-s30-k8s-r04/home-timeline-service-97b5cc7c-wl8w7 to emu-worker-9
5s          Normal    Scheduled           pod/nginx-thrift-5bb64998b9-rpmjg             Successfully assigned pss-20260603072120z-s30-k8s-r04/nginx-thrift-5bb64998b9-rpmjg to emu-worker-9
6s          Normal    ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-5bb64998b9 from 0 to 1
6s          Normal    SuccessfulCreate    replicaset/nginx-thrift-5bb64998b9            Created pod: nginx-thrift-5bb64998b9-rpmjg
6s          Normal    SuccessfulCreate    replicaset/home-timeline-service-97b5cc7c     Created pod: home-timeline-service-97b5cc7c-wl8w7
6s          Normal    ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-97b5cc7c from 0 to 1
6s          Normal    SuccessfulCreate    replicaset/compose-post-service-65ccb6bfdf    Created pod: compose-post-service-65ccb6bfdf-hc8dn
6s          Normal    ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-65ccb6bfdf from 0 to 1
5s          Normal    SuccessfulCreate    replicaset/text-service-7f74645d8f            Created pod: text-service-7f74645d8f-w9bp8
