LAST SEEN   TYPE     REASON              OBJECT                                        MESSAGE
7s          Normal   Scheduled           pod/text-service-5d494ccd4-279r9              Successfully assigned pss-20260603072120z-s20-p1-r02/text-service-5d494ccd4-279r9 to emu-worker-2
7s          Normal   Scheduled           pod/compose-post-service-64d956f48-nk2rt      Successfully assigned pss-20260603072120z-s20-p1-r02/compose-post-service-64d956f48-nk2rt to emu-worker-2
7s          Normal   Scheduled           pod/user-timeline-service-ff9b5bb6-f4vjx      Successfully assigned pss-20260603072120z-s20-p1-r02/user-timeline-service-ff9b5bb6-f4vjx to emu-worker-2
7s          Normal   Scheduled           pod/user-service-85d78fb856-fk72l             Successfully assigned pss-20260603072120z-s20-p1-r02/user-service-85d78fb856-fk72l to emu-worker-2
6s          Normal   Scheduled           pod/unique-id-service-5668cd59d6-z2nh4        Successfully assigned pss-20260603072120z-s20-p1-r02/unique-id-service-5668cd59d6-z2nh4 to emu-worker-2
7s          Normal   Scheduled           pod/nginx-thrift-744bb9c6cc-ctkb7             Successfully assigned pss-20260603072120z-s20-p1-r02/nginx-thrift-744bb9c6cc-ctkb7 to emu-worker-2
7s          Normal   Scheduled           pod/home-timeline-service-5ff4c6d6fd-ghb5l    Successfully assigned pss-20260603072120z-s20-p1-r02/home-timeline-service-5ff4c6d6fd-ghb5l to emu-worker-2
6s          Normal   Scheduled           pod/media-service-6897876856-27q6p            Successfully assigned pss-20260603072120z-s20-p1-r02/media-service-6897876856-27q6p to emu-worker-2
7s          Normal   SuccessfulCreate    replicaset/home-timeline-service-5ff4c6d6fd   Created pod: home-timeline-service-5ff4c6d6fd-ghb5l
7s          Normal   SuccessfulCreate    replicaset/user-service-85d78fb856            Created pod: user-service-85d78fb856-fk72l
7s          Normal   ScalingReplicaSet   deployment/nginx-thrift                       Scaled up replica set nginx-thrift-744bb9c6cc from 0 to 1
7s          Normal   ScalingReplicaSet   deployment/home-timeline-service              Scaled up replica set home-timeline-service-5ff4c6d6fd from 0 to 1
7s          Normal   ScalingReplicaSet   deployment/text-service                       Scaled up replica set text-service-5d494ccd4 from 0 to 1
7s          Normal   ScalingReplicaSet   deployment/user-timeline-service              Scaled up replica set user-timeline-service-ff9b5bb6 from 0 to 1
7s          Normal   SuccessfulCreate    replicaset/user-timeline-service-ff9b5bb6     Created pod: user-timeline-service-ff9b5bb6-f4vjx
7s          Normal   SuccessfulCreate    replicaset/compose-post-service-64d956f48     Created pod: compose-post-service-64d956f48-nk2rt
7s          Normal   SuccessfulCreate    replicaset/nginx-thrift-744bb9c6cc            Created pod: nginx-thrift-744bb9c6cc-ctkb7
7s          Normal   SuccessfulCreate    replicaset/text-service-5d494ccd4             Created pod: text-service-5d494ccd4-279r9
7s          Normal   ScalingReplicaSet   deployment/compose-post-service               Scaled up replica set compose-post-service-64d956f48 from 0 to 1
7s          Normal   ScalingReplicaSet   deployment/user-service                       Scaled up replica set user-service-85d78fb856 from 0 to 1
6s          Normal   Pulled              pod/nginx-thrift-744bb9c6cc-ctkb7             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   ScalingReplicaSet   deployment/media-service                      Scaled up replica set media-service-6897876856 from 0 to 1
6s          Normal   Pulled              pod/compose-post-service-64d956f48-nk2rt      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
6s          Normal   SuccessfulCreate    replicaset/media-service-6897876856           Created pod: media-service-6897876856-27q6p
6s          Normal   ScalingReplicaSet   deployment/unique-id-service                  Scaled up replica set unique-id-service-5668cd59d6 from 0 to 1
6s          Normal   SuccessfulCreate    replicaset/unique-id-service-5668cd59d6       Created pod: unique-id-service-5668cd59d6-z2nh4
6s          Normal   Pulled              pod/user-timeline-service-ff9b5bb6-f4vjx      Container image "python:3.11-slim" already present on machine and can be accessed by the pod
5s          Normal   Pulled              pod/home-timeline-service-5ff4c6d6fd-ghb5l    Container image "python:3.11-slim" already present on machine and can be accessed by the pod
3s          Normal   Started             pod/text-service-5d494ccd4-279r9              Container started
3s          Normal   Pulled              pod/user-service-85d78fb856-fk72l             Container image "python:3.11-slim" already present on machine and can be accessed by the pod
3s          Normal   Created             pod/text-service-5d494ccd4-279r9              Container created
3s          Normal   Pulled              pod/unique-id-service-5668cd59d6-z2nh4        Container image "python:3.11-slim" already present on machine and can be accessed by the pod
3s          Normal   Created             pod/unique-id-service-5668cd59d6-z2nh4        Container created
3s          Normal   Started             pod/unique-id-service-5668cd59d6-z2nh4        Container started
3s          Normal   Pulled              pod/text-service-5d494ccd4-279r9              Container image "python:3.11-slim" already present on machine and can be accessed by the pod
3s          Normal   Started             pod/home-timeline-service-5ff4c6d6fd-ghb5l    Container started
3s          Normal   Started             pod/compose-post-service-64d956f48-nk2rt      Container started
3s          Normal   Created             pod/home-timeline-service-5ff4c6d6fd-ghb5l    Container created
3s          Normal   Created             pod/user-service-85d78fb856-fk72l             Container created
3s          Normal   Started             pod/user-service-85d78fb856-fk72l             Container started
3s          Normal   Started             pod/nginx-thrift-744bb9c6cc-ctkb7             Container started
3s          Normal   Created             pod/nginx-thrift-744bb9c6cc-ctkb7             Container created
3s          Normal   Created             pod/compose-post-service-64d956f48-nk2rt      Container created
3s          Normal   Started             pod/media-service-6897876856-27q6p            Container started
3s          Normal   Created             pod/user-timeline-service-ff9b5bb6-f4vjx      Container created
3s          Normal   Started             pod/user-timeline-service-ff9b5bb6-f4vjx      Container started
3s          Normal   Created             pod/media-service-6897876856-27q6p            Container created
3s          Normal   Pulled              pod/media-service-6897876856-27q6p            Container image "python:3.11-slim" already present on machine and can be accessed by the pod
